uid,Должность,Балл,Месяц
u966,Продавец-кассир,"88,64",июл.13
u966,Продавец-кассир,"98,39",авг.13
u966,Продавец-кассир,80,сен.13
u966,Продавец-кассир,0,окт.13
u966,Продавец-кассир,"96,67",ноя.13
u966,Продавец-кассир,0,дек.13
u966,Продавец-кассир,0,янв.14
u966,Продавец-кассир,0,фев.14
u966,Продавец-кассир,0,мар.14
u966,Продавец-кассир,0,апр.14
u965,Продавец,0,мар.14
u965,Продавец,0,апр.14
u963,Старший продавец-кассир,0,май.13
u963,Старший продавец-кассир,0,июн.13
u963,Старший продавец-кассир,0,июл.13
u963,Старший продавец-кассир,0,авг.13
u963,Старший продавец-кассир,0,сен.13
u963,Старший продавец-кассир,0,окт.13
u963,Старший продавец-кассир,0,ноя.13
u963,Старший продавец-кассир,0,дек.13
u963,Старший продавец-кассир,0,янв.14
u963,Старший продавец-кассир,0,фев.14
u963,Старший продавец-кассир,0,мар.14
u963,Старший продавец-кассир,0,апр.14
u961,Продавец,0,окт.13
u961,Продавец,0,ноя.13
u961,Продавец,0,дек.13
u961,Продавец,0,янв.14
u961,Продавец-кассир,0,фев.14
u961,Старший продавец-кассир,"89,83",мар.14
u961,Старший продавец-кассир,0,апр.14
u960,Продавец-кассир,0,май.13
u960,Продавец-кассир,0,июн.13
u960,Продавец-кассир,"88,89",июл.13
u960,Продавец-кассир,"96,88",авг.13
u960,Продавец-кассир,"93,02",сен.13
u960,Старший продавец-кассир,"85,06",окт.13
u960,Старший продавец-кассир,"94,44",ноя.13
u960,Старший продавец-кассир,100,дек.13
u960,Старший продавец-кассир,"95,84",янв.14
u960,Старший продавец-кассир,"93,22",фев.14
u960,Старший продавец-кассир,"92,37",мар.14
u960,Старший продавец-кассир,0,апр.14
u96,Продавец,0,окт.13
u96,Продавец-кассир,0,ноя.13
u96,Продавец-кассир,0,дек.13
u96,Продавец-кассир,0,янв.14
u96,Продавец-кассир,0,фев.14
u96,Продавец-кассир,0,мар.14
u96,Продавец-кассир,0,апр.14
u950,Продавец,"83,64",июн.13
u950,Продавец,0,июл.13
u950,Продавец,0,авг.13
u950,Продавец-кассир,0,сен.13
u950,Продавец-кассир,"71,17",окт.13
u950,Продавец-кассир,"96,67",ноя.13
u950,Продавец-кассир,0,дек.13
u950,Продавец-кассир,0,янв.14
u950,Продавец-кассир,"81,92",фев.14
u950,Продавец-кассир,"78,82",мар.14
u950,Продавец-кассир,0,апр.14
u948,Продавец,0,апр.14
u947,Продавец-кассир,"95,91",май.13
u947,Продавец-кассир,"87,5",июн.13
u947,Продавец-кассир,0,июл.13
u947,Продавец-кассир,"95,24",авг.13
u947,Продавец-кассир,"94,05",сен.13
u947,Продавец-кассир,"93,1",окт.13
u947,Продавец-кассир,100,ноя.13
u947,Продавец-кассир,100,дек.13
u947,Продавец-кассир,100,янв.14
u947,Продавец-кассир,"88,14",фев.14
u947,Продавец-кассир,100,мар.14
u947,Продавец-кассир,0,апр.14
u941,Продавец,0,мар.14
u941,Продавец,0,апр.14
u940,Продавец-кассир,90,май.13
u940,Продавец-кассир,0,июн.13
u940,Продавец-кассир,"97,62",июл.13
u940,Продавец-кассир,"92,06",авг.13
u940,Продавец-кассир,"92,93",сен.13
u940,Продавец-кассир,"87,18",окт.13
u940,Продавец-кассир,96665,ноя.13
u940,Продавец-кассир,85,дек.13
u938,Продавец-кассир,0,май.13
u938,Старший продавец-кассир,0,июн.13
u938,Старший продавец-кассир,"75,61",июл.13
u938,Старший продавец-кассир,"92,31",авг.13
u938,Старший продавец-кассир,"91,67",сен.13
u938,Старший продавец-кассир,0,окт.13
u938,Старший продавец-кассир,"98,33",ноя.13
u938,Старший продавец-кассир,0,дек.13
u938,Старший продавец-кассир,100,янв.14
u938,Старший продавец-кассир,0,фев.14
u938,Старший продавец-кассир,0,мар.14
u938,Старший продавец-кассир,0,апр.14
u937,Продавец,0,ноя.13
u937,Продавец,0,дек.13
u937,Продавец,0,янв.14
u937,Продавец-кассир,0,фев.14
u937,Продавец-кассир,0,мар.14
u937,Продавец-кассир,0,апр.14
u935,Старший продавец-кассир,"96,66",май.13
u935,Старший продавец-кассир,0,июн.13
u935,Старший продавец-кассир,"92,39",июл.13
u935,Продавец-кассир,0,авг.13
u935,Продавец-кассир,"79,22",сен.13
u935,Продавец-кассир,93245,окт.13
u935,Продавец-кассир,"97,5",ноя.13
u935,Продавец-кассир,95,дек.13
u935,Продавец-кассир,"98,33",янв.14
u935,Продавец-кассир,0,фев.14
u935,Продавец-кассир,0,мар.14
u935,Продавец-кассир,"93,22",апр.14
u934,Продавец,0,янв.14
u934,Продавец-кассир,0,фев.14
u934,Продавец-кассир,0,мар.14
u934,Продавец-кассир,"92,65",апр.14
u931,Продавец,0,мар.14
u931,Продавец,0,апр.14
u930,Продавец,0,апр.14
u926,Старший продавец-кассир,0,май.13
u926,Старший продавец-кассир,100,июн.13
u926,Старший продавец-кассир,"90,91",июл.13
u925,Старший продавец-кассир,0,май.13
u925,Старший продавец-кассир,0,июн.13
u925,Старший продавец-кассир,0,июл.13
u925,Старший продавец-кассир,0,авг.13
u925,Старший продавец-кассир,0,сен.13
u925,Старший продавец-кассир,0,окт.13
u925,Старший продавец-кассир,0,ноя.13
u925,Старший продавец-кассир,0,дек.13
u925,Старший продавец-кассир,0,янв.14
u925,Старший продавец-кассир,0,фев.14
u925,Старший продавец-кассир,0,мар.14
u925,Старший продавец-кассир,0,апр.14
u924,Продавец,0,авг.13
u924,Продавец,0,сен.13
u924,Продавец,0,окт.13
u924,Продавец-кассир,0,ноя.13
u924,Продавец-кассир,"93,33",дек.13
u924,Продавец-кассир,0,янв.14
u924,Продавец-кассир,0,фев.14
u924,Продавец-кассир,0,мар.14
u924,Продавец-кассир,0,апр.14
u923,Продавец-кассир,"92,73",май.13
u923,Продавец-кассир,"80,33",июн.13
u923,Продавец-кассир,0,июл.13
u923,Продавец-кассир,0,авг.13
u923,Продавец-кассир,0,сен.13
u923,Продавец-кассир,0,окт.13
u923,Продавец-кассир,0,ноя.13
u923,Продавец-кассир,0,дек.13
u923,Продавец-кассир,0,янв.14
u923,Продавец-кассир,0,фев.14
u923,Продавец-кассир,0,мар.14
u923,Продавец-кассир,0,апр.14
u922,Продавец,0,окт.13
u922,Продавец-кассир,0,ноя.13
u922,Продавец-кассир,0,дек.13
u922,Продавец-кассир,0,янв.14
u922,Продавец-кассир,0,фев.14
u922,Продавец-кассир,0,мар.14
u922,Продавец-кассир,0,апр.14
u921,Старший продавец-кассир,"96,77",май.13
u921,Старший продавец-кассир,0,июн.13
u921,Старший продавец-кассир,0,июл.13
u921,Старший продавец-кассир,89,авг.13
u921,Старший продавец-кассир,"97,29",сен.13
u921,Старший продавец-кассир,0,окт.13
u921,Старший продавец-кассир,100,ноя.13
u921,Старший продавец-кассир,0,дек.13
u921,Старший продавец-кассир,0,янв.14
u921,Старший продавец-кассир,"96,61",фев.14
u921,Старший продавец-кассир,"98,31",мар.14
u921,Старший продавец-кассир,0,апр.14
u92,Продавец-кассир,0,май.13
u92,Продавец-кассир,0,июн.13
u92,Продавец-кассир,"82,93",июл.13
u92,Продавец-кассир,0,авг.13
u92,Продавец-кассир,"76,74",сен.13
u92,Продавец-кассир,0,окт.13
u92,Продавец-кассир,"93,33",ноя.13
u92,Продавец-кассир,96665,дек.13
u92,Продавец-кассир,0,янв.14
u92,Продавец-кассир,0,фев.14
u92,Продавец-кассир,0,мар.14
u92,Продавец-кассир,100,апр.14
u919,Продавец-кассир,"98,25",май.13
u919,Продавец-кассир,0,июн.13
u919,Продавец-кассир,0,июл.13
u919,Продавец-кассир,"98,39",авг.13
u919,Продавец-кассир,"93,96",сен.13
u919,Продавец-кассир,"79,22",окт.13
u919,Продавец-кассир,"98,33",ноя.13
u919,Продавец-кассир,89165,дек.13
u919,Продавец-кассир,100,янв.14
u919,Продавец-кассир,100,фев.14
u919,Продавец-кассир,"93,22",мар.14
u919,Продавец-кассир,0,апр.14
u917,Продавец-кассир,0,окт.13
u917,Продавец-кассир,0,ноя.13
u917,Продавец-кассир,95,дек.13
u917,Продавец-кассир,"93,33",янв.14
u917,Продавец-кассир,"98,31",фев.14
u917,Продавец-кассир,"93,22",мар.14
u917,Продавец-кассир,0,апр.14
u916,Продавец-кассир,"72,14",май.13
u916,Продавец-кассир,0,июн.13
u916,Продавец-кассир,"91,49",июл.13
u916,Продавец-кассир,0,авг.13
u916,Продавец-кассир,0,сен.13
u916,Продавец-кассир,"93,75",окт.13
u916,Продавец-кассир,"93,33",ноя.13
u916,Продавец-кассир,"91,67",дек.13
u916,Продавец-кассир,"96,67",янв.14
u916,Продавец-кассир,"80,51",фев.14
u916,Продавец-кассир,"91,53",мар.14
u916,Продавец-кассир,0,апр.14
u91,Старший продавец-кассир,"94,83",май.13
u91,Старший продавец-кассир,"96,77",июн.13
u91,Старший продавец-кассир,"94,29",июл.13
u91,Старший продавец-кассир,0,авг.13
u91,Старший продавец-кассир,"98,88",сен.13
u91,Старший продавец-кассир,"93,75",окт.13
u91,Старший продавец-кассир,100,ноя.13
u91,Старший продавец-кассир,0,дек.13
u91,Старший продавец-кассир,95,янв.14
u91,Старший продавец-кассир,0,фев.14
u91,Старший продавец-кассир,0,мар.14
u91,Старший продавец-кассир,0,апр.14
u909,Продавец-кассир,0,май.13
u909,Продавец-кассир,0,июн.13
u909,Продавец-кассир,0,июл.13
u909,Продавец-кассир,0,авг.13
u909,Продавец-кассир,0,сен.13
u909,Продавец-кассир,0,окт.13
u909,Продавец-кассир,"96,67",ноя.13
u909,Продавец-кассир,0,дек.13
u909,Продавец-кассир,95,янв.14
u909,Продавец-кассир,"88,7",фев.14
u909,Продавец-кассир,0,мар.14
u909,Продавец-кассир,0,апр.14
u908,Продавец,0,окт.13
u908,Продавец,0,ноя.13
u908,Продавец,0,дек.13
u908,Продавец,0,янв.14
u908,Продавец-кассир,"93,22",фев.14
u908,Продавец-кассир,0,мар.14
u908,Продавец-кассир,0,апр.14
u907,Продавец,0,дек.13
u907,Продавец,0,янв.14
u907,Продавец-кассир,100,фев.14
u907,Старший продавец-кассир,"96,61",мар.14
u907,Старший продавец-кассир,0,апр.14
u906,Продавец,0,окт.13
u906,Продавец,0,ноя.13
u906,Продавец,0,дек.13
u906,Продавец,0,янв.14
u906,Продавец-кассир,0,фев.14
u906,Продавец-кассир,0,мар.14
u906,Продавец-кассир,0,апр.14
u901,Продавец-кассир,100,май.13
u901,Продавец-кассир,"98,36",июн.13
u901,Продавец-кассир,0,июл.13
u901,Продавец-кассир,75,авг.13
u901,Продавец-кассир,0,сен.13
u901,Продавец-кассир,100,окт.13
u901,Продавец-кассир,"98,33",ноя.13
u901,Продавец-кассир,0,дек.13
u901,Продавец-кассир,"96,67",янв.14
u901,Продавец-кассир,"96,61",фев.14
u901,Продавец-кассир,100,мар.14
u901,Продавец-кассир,0,апр.14
u90,Продавец-кассир,0,май.13
u90,Продавец-кассир,0,июн.13
u90,Продавец-кассир,0,июл.13
u90,Продавец-кассир,0,авг.13
u90,Продавец-кассир,"94,52",сен.13
u90,Продавец-кассир,"94,59",окт.13
u90,Продавец-кассир,79165,ноя.13
u90,Продавец-кассир,80,дек.13
u90,Продавец-кассир,"93,33",янв.14
u90,Продавец-кассир,"54,24",фев.14
u90,Продавец-кассир,0,мар.14
u90,Продавец-кассир,0,апр.14
u898,Продавец-кассир,0,май.13
u898,Продавец-кассир,"96,77",июн.13
u898,Продавец-кассир,0,июл.13
u898,Продавец-кассир,100,авг.13
u898,Продавец-кассир,"77,78",сен.13
u898,Продавец-кассир,"98,8",окт.13
u898,Продавец-кассир,0,ноя.13
u898,Продавец-кассир,0,дек.13
u898,Продавец-кассир,0,янв.14
u898,Продавец-кассир,"94,92",фев.14
u898,Продавец-кассир,0,мар.14
u898,Продавец-кассир,0,апр.14
u896,Продавец,0,май.13
u896,Продавец-кассир,100,июн.13
u896,Продавец-кассир,0,июл.13
u896,Продавец-кассир,0,авг.13
u896,Продавец-кассир,0,сен.13
u896,Продавец-кассир,0,окт.13
u896,Продавец-кассир,0,ноя.13
u896,Продавец-кассир,0,дек.13
u896,Продавец-кассир,0,янв.14
u896,Продавец-кассир,"94,92",фев.14
u896,Продавец-кассир,0,мар.14
u896,Продавец-кассир,0,апр.14
u895,Продавец-кассир,0,май.13
u895,Продавец-кассир,0,июн.13
u895,Продавец-кассир,"94,26",июл.13
u895,Продавец-кассир,"90,77",авг.13
u895,Продавец-кассир,0,сен.13
u895,Продавец-кассир,96465,окт.13
u895,Продавец-кассир,"98,33",ноя.13
u895,Продавец-кассир,"91,67",дек.13
u895,Продавец-кассир,"86,67",янв.14
u895,Продавец-кассир,0,фев.14
u895,Продавец-кассир,"93,22",мар.14
u895,Продавец-кассир,"98,31",апр.14
u893,Продавец,0,сен.13
u893,Продавец,0,окт.13
u893,Продавец,0,ноя.13
u893,Продавец-кассир,0,дек.13
u893,Продавец-кассир,0,янв.14
u893,Продавец-кассир,0,фев.14
u893,Продавец-кассир,0,мар.14
u893,Продавец-кассир,"83,05",апр.14
u892,Старший продавец-кассир,0,май.13
u892,Старший продавец-кассир,0,июн.13
u892,Старший продавец-кассир,0,июл.13
u892,Старший продавец-кассир,"95,24",авг.13
u892,Старший продавец-кассир,87235,сен.13
u892,Старший продавец-кассир,89655,окт.13
u892,Старший продавец-кассир,90,ноя.13
u892,Старший продавец-кассир,"81,67",дек.13
u892,Старший продавец-кассир,"81,12",янв.14
u892,Старший продавец-кассир,0,фев.14
u892,Старший продавец-кассир,"77,97",мар.14
u892,Старший продавец-кассир,"93,22",апр.14
u891,Продавец-кассир,0,май.13
u891,Продавец-кассир,0,июн.13
u891,Продавец-кассир,0,июл.13
u891,Продавец-кассир,"92,19",авг.13
u891,Продавец-кассир,"77,97",сен.13
u891,Продавец-кассир,"95,35",окт.13
u891,Продавец-кассир,95,ноя.13
u891,Продавец-кассир,"96,67",дек.13
u891,Продавец-кассир,0,янв.14
u891,Продавец-кассир,0,фев.14
u891,Продавец-кассир,0,мар.14
u891,Продавец-кассир,"94,91",апр.14
u89,Продавец,0,апр.14
u889,Продавец,0,мар.14
u889,Продавец,0,апр.14
u887,Продавец-кассир,0,май.13
u887,Продавец-кассир,88985,июн.13
u887,Продавец-кассир,"76,74",июл.13
u887,Продавец-кассир,0,авг.13
u887,Продавец-кассир,"91,01",сен.13
u887,Продавец-кассир,"58,96",окт.13
u887,Продавец-кассир,0,ноя.13
u887,Продавец-кассир,0,дек.13
u887,Продавец-кассир,0,янв.14
u887,Продавец-кассир,"61,02",фев.14
u887,Продавец-кассир,0,мар.14
u887,Продавец-кассир,0,апр.14
u883,Продавец,0,авг.13
u883,Продавец,0,сен.13
u883,Продавец,0,окт.13
u883,Продавец,0,ноя.13
u883,Продавец-кассир,0,дек.13
u883,Продавец-кассир,0,янв.14
u883,Продавец-кассир,0,фев.14
u883,Продавец-кассир,0,мар.14
u883,Продавец-кассир,"94,92",апр.14
u882,Старший продавец-кассир,0,май.13
u882,Старший продавец-кассир,0,июн.13
u882,Старший продавец-кассир,0,июл.13
u882,Старший продавец-кассир,0,авг.13
u882,Старший продавец-кассир,0,сен.13
u882,Старший продавец-кассир,0,окт.13
u882,Старший продавец-кассир,0,ноя.13
u882,Старший продавец-кассир,0,дек.13
u882,Старший продавец-кассир,0,янв.14
u882,Старший продавец-кассир,"89,83",фев.14
u882,Старший продавец-кассир,0,мар.14
u880,Продавец-кассир,"88,33",май.13
u880,Продавец-кассир,"95,24",июн.13
u880,Продавец-кассир,0,июл.13
u880,Продавец-кассир,0,авг.13
u880,Продавец-кассир,"97,27",сен.13
u880,Продавец-кассир,"94,05",окт.13
u880,Продавец-кассир,0,ноя.13
u880,Продавец-кассир,0,дек.13
u880,Продавец-кассир,0,янв.14
u880,Продавец-кассир,"98,31",фев.14
u880,Продавец-кассир,0,мар.14
u880,Старший продавец-кассир,"98,31",апр.14
u88,Продавец,0,янв.14
u88,Продавец,0,фев.14
u88,Продавец-кассир,"96,61",мар.14
u88,Продавец-кассир,0,апр.14
u879,Продавец-кассир,0,май.13
u879,Продавец-кассир,0,июн.13
u879,Продавец-кассир,0,июл.13
u879,Продавец-кассир,84205,авг.13
u879,Продавец-кассир,0,сен.13
u879,Продавец-кассир,0,окт.13
u879,Продавец-кассир,0,ноя.13
u879,Продавец-кассир,0,дек.13
u879,Продавец-кассир,"89,17",янв.14
u879,Продавец-кассир,"81,36",фев.14
u879,Продавец-кассир,"84,75",мар.14
u879,Продавец-кассир,0,апр.14
u877,Продавец-кассир,"86,89",май.13
u877,Продавец-кассир,"92,19",июн.13
u877,Продавец-кассир,0,июл.13
u877,Продавец-кассир,0,авг.13
u877,Продавец-кассир,0,сен.13
u877,Продавец-кассир,0,окт.13
u877,Продавец-кассир,0,ноя.13
u877,Продавец-кассир,0,дек.13
u877,Продавец-кассир,0,янв.14
u877,Продавец-кассир,0,фев.14
u877,Продавец-кассир,0,мар.14
u877,Продавец-кассир,0,апр.14
u874,Продавец,0,дек.13
u874,Продавец,0,янв.14
u874,Продавец,0,фев.14
u874,Продавец-кассир,0,мар.14
u874,Продавец-кассир,0,апр.14
u872,Продавец-кассир,0,май.13
u872,Продавец-кассир,"97,53",июн.13
u872,Продавец-кассир,0,июл.13
u872,Продавец-кассир,0,авг.13
u872,Продавец-кассир,0,сен.13
u872,Продавец-кассир,0,окт.13
u872,Продавец-кассир,0,ноя.13
u872,Старший продавец-кассир,0,дек.13
u872,Старший продавец-кассир,0,янв.14
u872,Старший продавец-кассир,0,фев.14
u872,Старший продавец-кассир,"98,31",мар.14
u872,Старший продавец-кассир,0,апр.14
u869,Продавец-кассир,"91,34",май.13
u869,Продавец-кассир,0,июн.13
u869,Продавец-кассир,"97,82",июл.13
u869,Продавец-кассир,"98,31",авг.13
u869,Продавец-кассир,"88,91",сен.13
u869,Продавец-кассир,"98,83",окт.13
u869,Продавец-кассир,"93,89",ноя.13
u869,Продавец-кассир,0,дек.13
u869,Продавец-кассир,"96,67",янв.14
u869,Продавец-кассир,"96,61",фев.14
u869,Продавец-кассир,"96,61",мар.14
u869,Продавец-кассир,0,апр.14
u868,Продавец,0,мар.14
u868,Продавец,0,апр.14
u867,Продавец,0,окт.13
u867,Продавец,0,ноя.13
u867,Продавец-кассир,0,дек.13
u867,Продавец-кассир,"95,84",янв.14
u867,Продавец-кассир,"88,99",фев.14
u867,Продавец-кассир,"76,27",мар.14
u867,Продавец-кассир,100,апр.14
u865,Продавец-кассир,100,май.13
u865,Продавец-кассир,0,июн.13
u865,Продавец-кассир,0,июл.13
u865,Продавец-кассир,100,авг.13
u865,Продавец-кассир,94345,сен.13
u865,Продавец-кассир,100,окт.13
u865,Продавец-кассир,100,ноя.13
u865,Продавец-кассир,0,дек.13
u865,Продавец-кассир,"98,34",янв.14
u865,Продавец-кассир,"98,31",фев.14
u865,Продавец-кассир,100,мар.14
u865,Продавец-кассир,100,апр.14
u864,Старший продавец-кассир,0,сен.13
u864,Старший продавец-кассир,0,окт.13
u864,Старший продавец-кассир,95,ноя.13
u864,Старший продавец-кассир,0,дек.13
u864,Старший продавец-кассир,0,янв.14
u864,Старший продавец-кассир,"96,61",фев.14
u864,Старший продавец-кассир,100,мар.14
u864,Старший продавец-кассир,"93,22",апр.14
u863,Продавец-кассир,0,ноя.13
u863,Продавец-кассир,"91,67",дек.13
u863,Продавец-кассир,0,янв.14
u863,Продавец-кассир,0,фев.14
u863,Продавец-кассир,100,мар.14
u863,Продавец-кассир,0,апр.14
u861,Старший продавец-кассир,"96,3",май.13
u861,Старший продавец-кассир,"98,39",июн.13
u861,Старший продавец-кассир,0,июл.13
u861,Старший продавец-кассир,0,авг.13
u861,Старший продавец-кассир,"98,84",сен.13
u861,Старший продавец-кассир,0,окт.13
u861,Старший продавец-кассир,0,ноя.13
u861,Старший продавец-кассир,0,дек.13
u861,Старший продавец-кассир,0,янв.14
u861,Старший продавец-кассир,0,фев.14
u861,Старший продавец-кассир,"89,83",мар.14
u861,Старший продавец-кассир,0,апр.14
u860,Продавец-кассир,0,май.13
u860,Продавец-кассир,"96,67",июн.13
u860,Продавец-кассир,0,июл.13
u860,Продавец-кассир,0,авг.13
u860,Продавец-кассир,"96,63",сен.13
u860,Продавец-кассир,0,окт.13
u860,Продавец-кассир,"91,67",ноя.13
u860,Продавец-кассир,0,дек.13
u860,Продавец-кассир,65,янв.14
u860,Продавец-кассир,"99,16",фев.14
u860,Продавец-кассир,0,мар.14
u860,Продавец-кассир,0,апр.14
u859,Продавец,0,апр.14
u858,Продавец-кассир,"98,31",май.13
u858,Продавец-кассир,0,июн.13
u858,Продавец-кассир,100,июл.13
u858,Продавец-кассир,"91,67",авг.13
u858,Продавец-кассир,0,сен.13
u858,Продавец-кассир,100,окт.13
u858,Продавец-кассир,95,ноя.13
u858,Продавец-кассир,0,дек.13
u858,Продавец-кассир,0,янв.14
u858,Продавец-кассир,0,фев.14
u858,Продавец-кассир,"89,83",мар.14
u858,Продавец-кассир,0,апр.14
u856,Продавец-кассир,0,май.13
u856,Продавец-кассир,0,июн.13
u856,Продавец-кассир,100,июл.13
u856,Продавец-кассир,"94,83",авг.13
u856,Продавец-кассир,0,сен.13
u856,Продавец-кассир,0,окт.13
u856,Продавец-кассир,0,ноя.13
u856,Продавец-кассир,"90,83",дек.13
u856,Продавец-кассир,90,янв.14
u856,Продавец-кассир,0,фев.14
u856,Продавец-кассир,0,мар.14
u856,Продавец-кассир,0,апр.14
u854,Продавец-кассир,"90,91",май.13
u854,Продавец-кассир,0,июн.13
u854,Продавец-кассир,0,июл.13
u854,Продавец-кассир,0,авг.13
u854,Продавец-кассир,0,сен.13
u854,Продавец-кассир,"84,52",окт.13
u854,Продавец-кассир,0,ноя.13
u854,Продавец-кассир,"88,33",дек.13
u854,Продавец-кассир,"81,67",янв.14
u854,Продавец-кассир,0,фев.14
u854,Продавец-кассир,"93,22",мар.14
u854,Продавец-кассир,0,апр.14
u851,Продавец-кассир,0,май.13
u851,Продавец-кассир,0,июн.13
u851,Продавец-кассир,0,июл.13
u851,Продавец-кассир,0,авг.13
