uid,Дата,1. Мои ежедневные обязанности соответствуют моим ожиданиям,"2. Я горжусь тем, что работаю в своей компании",3.Существующие технологии помогают мне эффективно выполнять работу,4. Решения принимаются оперативно,5. Отделы сотрудничают друг с другом эффективно,6. Внутри подразделения сотрудники оказывают друг другу необходимую поддержку,7. Мне обеспечили безопасные условия труда (рабочее место и оборудование),8. В коллективе я чувствую себя комфортно и безопасно,9. Принятие рискованных решений поощряется,10. Творческая инициатива вознаграждается,11. Я получаю достаточно необходимой для работы информации,12. Я могу свободно высказывать свое мнение,13. Обязанности между сотрудниками компании и/или отдела распределены справедливо,14. Вознаграждение за труд соответствует обязанностям,15. Мои коллеги придерживаются этических норм поведения,16. Мой начальник является образцом профессиональной этики,17. Как долго Вы планируете продолжать свою карьеру в компании?,18. Порекомендовали бы Вы своим друзьям работать в компании?,"19. Оцените нашу компанию как работодателя (от «1» - минимальная оценка, «5» - максимальная оценка)"
u1034,28.02.2012 17:13,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,3-5 лет,конечно нет,4
u1035,26.02.2012 10:48,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1036,23.02.2012 16:40,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,5
u1037,20.02.2012 15:31,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1038,17.02.2012 19:40,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,4
u1039,17.02.2012 13:35,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1044,16.02.2012 15:58,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Не согласен,Согласен,Частично согласен,Не согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1062,17.02.2012 15:56,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Не согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,1-2 года,возможно нет,3
u1064,03.02.2012 11:01,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Не согласен,Не совсем согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Частично согласен,Согласен,более 5 лет,возможно да,4
u107,01.02.2012 11:09,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,1-2 года,не уверен,3
u1075,17.02.2012 18:34,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,4
u1076,17.02.2012 11:30,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,3-5 лет,возможно да,5
u1077,01.02.2012 12:51,Частично согласен,Согласен,Не совсем согласен,Не совсем согласен,Не согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Затрудняюсь ответить,Не согласен,Не совсем согласен,Частично согласен,Согласен,2-3 года,конечно да,5
u1078,16.02.2012 17:39,Частично согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Согласен,Не совсем согласен,Не согласен,Частично согласен,Не совсем согласен,2-3 года,не уверен,4
u1081,16.02.2012 16:52,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Не согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1082,04.02.2012 19:15,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Не согласен,Согласен,Затрудняюсь ответить,Не согласен,Не совсем согласен,Не совсем согласен,Не согласен,Не совсем согласен,Согласен,Согласен,3-5 лет,конечно да,4
u1084,04.02.2012 21:20,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,5
u1085,16.02.2012 17:02,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Согласен,1-2 года,возможно да,4
u1087,20.02.2012 16:42,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1089,28.02.2012 17:46,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u11,16.02.2012 15:54,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u110,05.02.2012 19:22,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,более 5 лет,конечно да,4
u1106,28.02.2012 16:37,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Согласен,Не согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,2-3 года,возможно да,4
u1108,01.02.2012 19:50,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Не совсем согласен,более 5 лет,конечно да,4
u1112,01.02.2012 11:07,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1113,16.02.2012 14:04,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1114,16.02.2012 18:12,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,менее 1 года,не уверен,4
u1124,20.02.2012 19:05,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,2-3 года,конечно да,4
u1136,06.02.2012 14:53,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,более 5 лет,конечно да,5
u114,01.02.2012 11:09,Частично согласен,Частично согласен,Частично согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Не согласен,Не согласен,Не согласен,Частично согласен,Частично согласен,Не согласен,Согласен,Не согласен,менее 1 года,конечно нет,3
u1143,16.02.2012 14:27,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,менее 1 года,возможно да,5
u1145,01.02.2012 12:50,Частично согласен,Согласен,Не совсем согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,2-3 года,конечно да,4
u115,16.02.2012 18:05,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1151,20.02.2012 16:10,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,более 5 лет,не уверен,5
u1153,02.02.2012 10:30,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1154,17.02.2012 18:00,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1155,16.02.2012 17:09,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1156,21.02.2012 15:29,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1158,16.02.2012 14:40,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,более 5 лет,возможно да,5
u116,25.02.2012 16:44,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Не совсем согласен,Частично согласен,Не совсем согласен,Согласен,Частично согласен,более 5 лет,возможно да,5
u1172,19.02.2012 11:49,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1173,01.02.2012 10:56,Не совсем согласен,Согласен,Не совсем согласен,Частично согласен,Не согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Затрудняюсь ответить,Согласен,более 5 лет,возможно да,4
u1181,17.02.2012 18:27,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно нет,3
u1185,29.02.2012 12:16,Частично согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Не согласен,Частично согласен,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,2-3 года,возможно да,4
u1194,27.02.2012 20:50,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,более 5 лет,конечно да,5
u1195,18.02.2012 11:22,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1205,01.02.2012 11:17,Частично согласен,Частично согласен,Не совсем согласен,Не согласен,Не совсем согласен,Частично согласен,Не согласен,Частично согласен,Не согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Не согласен,Не совсем согласен,Согласен,1-2 года,возможно да,3
u1209,21.02.2012 15:40,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,3-5 лет,конечно да,5
u121,20.02.2012 18:01,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Согласен,Частично согласен,Не согласен,Согласен,Согласен,более 5 лет,не уверен,3
u1215,03.02.2012 19:25,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1219,16.02.2012 16:41,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u122,28.02.2012 14:19,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u1220,25.02.2012 16:59,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u124,17.02.2012 20:51,Частично согласен,Частично согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Не совсем согласен,Не согласен,Не согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,2-3 года,возможно да,4
u1248,16.02.2012 16:10,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u125,01.02.2012 11:21,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,более 5 лет,конечно да,5
u1258,29.02.2012 8:18,Частично согласен,Согласен,Согласен,Частично согласен,Не согласен,Частично согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Частично согласен,Не согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1259,24.02.2012 16:11,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1278,28.02.2012 11:07,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1284,21.02.2012 19:36,Частично согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,1-2 года,возможно да,4
u129,01.02.2012 14:45,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,более 5 лет,конечно да,4
u1291,18.02.2012 15:58,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Частично согласен,Согласен,более 5 лет,конечно да,4
u1297,17.02.2012 10:22,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,5
u1298,01.02.2012 11:00,Частично согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Затрудняюсь ответить,Согласен,более 5 лет,конечно да,4
u1305,25.02.2012 22:09,Частично согласен,Затрудняюсь ответить,Частично согласен,Согласен,Частично согласен,Согласен,Не совсем согласен,Согласен,Не согласен,Не согласен,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Затрудняюсь ответить,2-3 года,возможно да,4
u1306,27.02.2012 12:38,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u133,02.02.2012 10:41,Не совсем согласен,Согласен,Частично согласен,Не совсем согласен,Не согласен,Согласен,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Затрудняюсь ответить,Согласен,Не совсем согласен,Согласен,Согласен,3-5 лет,возможно да,4
u1333,17.02.2012 13:42,Частично согласен,Затрудняюсь ответить,Согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Не согласен,Затрудняюсь ответить,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,более 5 лет,возможно да,4
u1334,21.02.2012 19:17,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,более 5 лет,не уверен,3
u1336,17.02.2012 18:24,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,более 5 лет,конечно да,4
u1337,01.02.2012 12:45,Не совсем согласен,Частично согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Не согласен,Частично согласен,Не совсем согласен,Не согласен,Согласен,Частично согласен,менее 1 года,возможно да,3
u1338,02.02.2012 9:29,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u134,16.02.2012 15:48,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1340,21.02.2012 15:26,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1341,09.02.2012 12:40,Согласен,Согласен,Согласен,Не согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Не согласен,Не согласен,Не согласен,Согласен,Не согласен,Не согласен,Согласен,Не совсем согласен,более 5 лет,возможно да,4
u1345,17.02.2012 19:18,Согласен,Частично согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Частично согласен,Согласен,Не согласен,Согласен,Частично согласен,менее 1 года,возможно да,4
u1346,01.02.2012 11:23,Согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Согласен,Согласен,Затрудняюсь ответить,Частично согласен,Согласен,Затрудняюсь ответить,более 5 лет,конечно да,5
u1347,28.02.2012 13:57,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,3-5 лет,конечно да,4
u1350,01.02.2012 11:49,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,2-3 года,возможно да,5
u136,18.02.2012 14:29,Согласен,Затрудняюсь ответить,Не согласен,Частично согласен,Не согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,Согласен,Согласен,Не согласен,Не согласен,Согласен,3-5 лет,возможно да,4
u1372,01.02.2012 11:27,Согласен,Согласен,Согласен,Не согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,более 5 лет,конечно да,5
u1373,07.02.2012 13:12,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не согласен,Согласен,Частично согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,более 5 лет,конечно да,5
u1374,18.02.2012 17:19,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
u1377,22.02.2012 14:24,Частично согласен,Согласен,Частично согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Согласен,Не совсем согласен,Не совсем согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Частично согласен,Согласен,более 5 лет,возможно да,3
u1379,01.02.2012 13:51,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,4
u1385,28.02.2012 15:40,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Частично согласен,Согласен,Согласен,2-3 года,возможно да,4
