uid,План сотрудника,Факт сотрудника,% вып-я,Число_чеков,Ср.чек,месяц
u342,1 122 400,325 685,"29,02",61,5 339,апр.13
u578,1 122 400,1 291 977,"115,11",126,10 254,апр.13
u1107,1 122 400,1 031 992,"91,95",102,10 118,апр.13
u1193,1 122 400,889 074,"79,21",100,8 891,апр.13
u1180,1 122 400,1 124 364,"100,17",99,11 357,апр.13
u1003,775 200,707 547,"91,27",81,8 735,апр.13
u324,775 200,715 644,"92,32",74,9 671,апр.13
u1528,775 200,839 712,"108,32",71,11 827,апр.13
u617,800 000,1 183 452,"147,93",93,12 725,апр.13
u1144,800 000,933 563,"116,70",106,8 807,апр.13
u1156,800 000,271 217,"33,90",30,9 041,апр.13
u1771,800 000,936 674,"117,08",99,9 461,апр.13
u823,487 250,523 013,"107,34",64,8 172,апр.13
u1774,487 250,1 023 800,"210,12",110,9 307,апр.13
u1128,487 250,384 341,"78,88",39,9 855,апр.13
u373,487 250,340 520,"69,89",45,7 567,апр.13
u347,614 500,560 452,"91,20",49,11 438,апр.13
u57,614 500,656 280,"106,80",64,10 254,апр.13
u2066,614 500,661 055,"107,58",65,10 170,апр.13
u160,614 500,660 684,"107,52",81,8 157,апр.13
u975,516 750,612 890,"118,60",61,10 047,апр.13
u681,516 750,425 051,"82,25",51,8 334,апр.13
u182,516 750,568 790,"110,07",47,12 102,апр.13
u749,516 750,533 929,"103,32",55,9 708,апр.13
u27,403 750,418 448,"103,64",49,8 540,апр.13
u1791,403 750,441 647,"109,39",46,9 601,апр.13
u967,575 250,908 272,"157,89",71,12 793,апр.13
u18,575 250,687 355,"119,49",47,14 625,апр.13
u1155,575 250,639 102,"111,10",67,9 539,апр.13
u1205,575 250,650 564,"113,09",61,10 665,апр.13
u977,707 800,840 256,"118,71",92,9 133,апр.13
u2007,707 800,13 403,"1,89",1,13 403,апр.13
u935,707 800,880 114,"124,35",93,9 464,апр.13
u576,700 000,317 342,"45,33",42,7 556,апр.13
u1985,700 000,727 319,"103,90",92,7 906,апр.13
u352,700 000,47 672,"6,81",26,1 834,апр.13
u1452,700 000,829 698,"118,53",96,8 643,апр.13
u1895,442 000,536 877,"121,47",25,21 475,апр.13
u1443,442 000,538 906,"121,92",45,11 976,апр.13
u1284,442 000,235 364,"53,25",20,11 768,апр.13
u1834,1 150 750,1 572 645,"136,66",140,11 233,апр.13
u1210,1 150 750,1 541 728,"133,98",154,10 011,апр.13
u1254,1 150 750,884 616,"76,87",109,8 116,апр.13
u1311,1 150 750,883 005,"76,73",112,7 884,апр.13
u535,894 600,330 787,"36,98",36,9 189,апр.13
u1764,894 600,1 267 046,"141,63",108,11 732,апр.13
u108,894 600,1 434 951,"160,40",134,10 709,апр.13
u508,894 600,1 169 650,"130,75",104,11 247,апр.13
u1598,752 400,806 248,"107,16",77,10 471,апр.13
u103,752 400,857 746,"114,00",78,10 997,апр.13
u909,752 400,908 819,"120,79",86,10 568,апр.13
u1114,752 400,823 028,"109,39",75,10 974,апр.13
u1641,174 000,36 159,"20,78",9,4 018,апр.13
u1167,174 000,44 710,"25,70",9,4 968,апр.13
u668,1 963 625,1 792 876,"91,30",140,12 806,апр.13
u1593,1 963 625,2 031 772,"103,47",161,12 620,апр.13
u1049,1 963 625,2 630 767,"133,98",161,16 340,апр.13
u90,1 963 625,2 175 419,"110,79",157,13 856,апр.13
u671,1 963 625,1 984 924,"101,08",156,12 724,апр.13
u706,1 963 625,23 716,"1,21",1,23 716,апр.13
u772,1 963 625,1 985 059,"101,09",141,14 078,апр.13
u821,624 750,630 362,"100,90",74,8 518,апр.13
u526,624 750,689 644,"110,39",56,12 315,апр.13
u511,624 750,625 875,"100,18",83,7 541,апр.13
u1468,624 750,626 361,"100,26",67,9 349,апр.13
u1102,412 500,353 488,"85,69",51,6 931,апр.13
u916,412 500,410 346,"99,48",48,8 549,апр.13
u475,1 070 250,1 088 531,"101,71",121,8 996,апр.13
u169,539 000,642 624,"119,23",61,10 535,апр.13
u349,539 000,433 628,"80,45",37,11 720,апр.13
u1326,539 000,639 596,"118,66",57,11 221,апр.13
u1084,539 000,619 063,"114,85",31,19 970,апр.13
u1330,977 250,1 263 978,"129,34",154,8 208,апр.13
u1394,598 000,484 193,"80,97",58,8 348,апр.13
u1550,598 000,503 631,"84,22",59,8 536,апр.13
u1549,598 000,532 318,"89,02",58,9 178,апр.13
u512,703 500,742 163,"105,50",81,9 163,апр.13
u1427,703 500,781 001,"111,02",71,11 000,апр.13
u1151,703 500,828 363,"117,75",72,11 505,апр.13
u1045,411 500,494 932,"120,28",152,3 256,апр.13
u846,411 500,550 711,"133,83",37,14 884,апр.13
u1270,411 500,515 888,"125,37",36,14 330,апр.13
u473,472 500,306 599,"64,89",24,12 775,апр.13
u16,472 500,329 605,"69,76",43,7 665,апр.13
u2,472 500,424 070,"89,75",57,7 440,апр.13
u655,274 250,227 624,"83,00",26,8 755,апр.13
u657,274 250,177 400,"64,69",45,3 942,апр.13
u660,274 250,125 916,"45,91",8,15 739,апр.13
u1460,335 500,407 836,"121,56",43,9 485,апр.13
u1461,335 500,427 530,"127,43",45,9 501,апр.13
u1491,339 000,476 006,"140,41",35,13 600,апр.13
u1495,339 000,485 635,"143,26",57,8 520,апр.13
u1894,316 000,275 066,"87,05",31,8 873,апр.13
u960,316 000,218 152,"69,04",33,6 611,апр.13
u1676,316 000,413 295,"130,79",41,10 080,апр.13
u938,316 000,263 141,"83,27",44,5 980,апр.13
u92,413 000,400 322,"96,93",64,6 255,апр.13
u1679,413 000,634 131,"153,54",67,9 465,апр.13
u1816,369 500,325 755,"88,16",33,9 871,апр.13
u834,369 500,563 910,"152,61",64,8 811,апр.13
u1437,369 500,213 357,"57,74",24,8 890,апр.13
u832,421 500,256 264,"60,80",36,7 118,апр.13
u1342,435 250,286 984,"65,94",33,8 696,апр.13
u1865,312 600,431 902,"138,16",31,13 932,апр.13
u1683,312 600,322 652,"103,22",36,8 963,апр.13
u1702,420 600,432 989,"102,95",42,10 309,апр.13
u1715,420 600,489 808,"116,45",54,9 071,апр.13
u1884,420 600,486 494,"115,67",46,10 576,апр.13
u1721,420 600,430 876,"102,44",44,9 793,апр.13
u2076,420 600,472 519,"112,34",54,8 750,апр.13
u722,355 000,461 167,"129,91",44,10 481,апр.13
u1714,355 000,464 227,"130,77",53,8 759,апр.13
u2008,355 000,447 060,"125,93",51,8 766,апр.13
u1704,372 800,349 120,"93,65",38,9 187,апр.13
u1706,372 800,340 091,"91,23",36,9 447,апр.13
u1707,372 800,337 380,"90,50",35,9 639,апр.13
u1713,372 800,323 272,"86,71",29,11 147,апр.13
u1722,372 800,307 072,"82,37",35,8 773,апр.13
u1963,321 250,463 245,"144,20",75,6 177,апр.13
u1966,321 250,474 259,"147,63",61,7 775,апр.13
u926,279 500,262 029,"93,75",33,7 940,апр.13
u2071,279 500,239 884,"85,83",27,8 885,апр.13
u2073,279 500,231 125,"82,69",27,8 560,апр.13
u266,339 500,342 369,"100,84",41,8 350,апр.13
u271,339 500,352 007,"103,68",39,9 026,апр.13
u587,301 500,5 548,"1,84",1,5 548,апр.13
u1345,301 500,330 864,"109,74",44,7 520,апр.13
u1346,301 500,396 989,"131,67",38,10 447,апр.13
u158,301 500,315 775,"104,73",41,7 702,апр.13
u1348,301 500,49 917,"16,56",11,4 538,апр.13
u695,678 250,308 752,"45,52",41,7 531,апр.13
u1349,678 250,923 841,"136,21",87,10 619,апр.13
u732,678 250,680 756,"100,37",74,9 199,апр.13
u715,614 200,163 283,"26,58",11,14 844,апр.13
u1293,614 200,629 849,"102,55",59,10 675,апр.13
u1294,614 200,780 671,"127,10",81,9 638,апр.13
u1295,614 200,865 162,"140,86",91,9 507,апр.13
u1296,614 200,641 510,"104,45",70,9 164,апр.13
u1571,417 250,94 106,"22,55",6,15 684,апр.13
u1573,417 250,418 278,"100,25",43,9 727,апр.13
u1510,267 800,243 133,"90,79",37,6 571,апр.13
u1520,267 800,324 260,"121,08",39,8 314,апр.13
u175,267 800,352 006,"131,44",32,11 000,апр.13
u1343,267 800,216 728,"80,93",30,7 224,апр.13
u1515,267 800,331 416,"123,75",54,6 137,апр.13
u1514,184 800,337 000,"182,36",41,8 220,апр.13
u560,278 500,303 846,"109,10",44,6 906,апр.13
u864,278 500,455 622,"163,60",44,10 355,апр.13
u561,278 500,427 817,"153,61",46,9 300,апр.13
u1313,390 000,270 995,"69,49",22,12 318,апр.13
u1565,390 000,282 267,"72,38",37,7 629,апр.13
u236,440 000,689 079,"156,61",53,13 001,апр.13
u964,440 000,551 405,"125,32",57,9 674,апр.13
u1584,440 000,590 714,"134,25",67,8 817,апр.13
u1309,440 000,643 127,"146,17",48,13 398,апр.13
u1508,437 500,358 604,"81,97",42,8 538,апр.13
u1812,437 500,599 859,"137,11",55,10 907,апр.13
u805,437 500,563 743,"128,86",59,9 555,апр.13
u966,437 500,610 566,"139,56",42,14 537,апр.13
u1763,315 500,341 221,"108,15",28,12 186,апр.13
u1841,315 500,426 710,"135,25",37,11 533,апр.13
u901,315 500,446 755,"141,60",42,10 637,апр.13
u880,588 200,616 710,"104,85",53,11 636,апр.13
u1927,588 200,753 901,"128,17",74,10 188,апр.13
u1974,588 200,693 884,"117,97",52,13 344,апр.13
u1291,588 200,865 180,"147,09",53,16 324,апр.13
u1696,588 200,151 247,"25,71",18,8 403,апр.13
u262,432 250,629 999,"145,75",49,12 857,апр.13
u1564,432 250,229 534,"53,10",25,9 181,апр.13
u1336,432 250,674 008,"155,93",74,9 108,апр.13
u887,486 500,120 195,"24,71",14,8 585,апр.13
u892,486 500,624 292,"128,32",58,10 764,апр.13
u879,236 250,416 201,"176,17",34,12 241,апр.13
u1420,476 750,736 990,"154,59",67,11 000,апр.13
u1694,476 750,306 359,"64,26",22,13 925,апр.13
u895,476 750,488 109,"102,38",72,6 779,апр.13
u877,566 250,449 171,"79,32",36,12 477,апр.13
u631,566 250,595 210,"105,11",65,9 157,апр.13
u1698,391 750,233 003,"59,48",31,7 516,апр.13
u149,348 750,99 008,"28,39",17,5 824,апр.13
u639,348 750,324 238,"92,97",31,10 459,апр.13
u641,348 750,309 048,"88,62",25,12 362,апр.13
u632,450 000,483 840,"107,52",46,10 518,апр.13
u638,450 000,597 563,"132,79",72,8 299,апр.13
u636,450 000,646 693,"143,71",63,10 265,апр.13
u1436,450 000,651 855,"144,86",70,9 312,апр.13
u1776,450 000,116 090,"25,80",9,12 899,апр.13
u719,437 500,613 283,"140,18",51,12 025,апр.13
u716,437 500,694 597,"158,77",68,10 215,апр.13
u720,437 500,445 751,"101,89",49,9 097,апр.13
u1372,397 500,312 953,"78,73",41,7 633,апр.13
u1759,397 500,431 921,"108,66",42,10 284,апр.13
u1385,397 500,432 635,"108,84",55,7 866,апр.13
u1390,397 500,546 667,"137,53",41,13 333,апр.13
u1376,323 750,100 586,"31,07",7,14 369,апр.13
u1384,323 750,153 566,"47,43",8,19 196,апр.13
u1389,323 750,342 504,"105,79",72,4 757,апр.13
u1388,323 750,349 547,"107,97",46,7 599,апр.13
u1373,330 000,402 845,"122,07",38,10 601,апр.13
u1940,330 000,464 245,"140,68",45,10 317,апр.13
u1729,299 500,376 370,"125,67",46,8 182,апр.13
u1743,299 500,345 981,"115,52",42,8 238,апр.13
u851,461 400,255 175,"55,30",26,9 814,апр.13
u664,461 400,358 449,"77,69",47,7 627,апр.13
u940,271 400,424 099,"156,26",51,8 316,апр.13
u2112,271 400,356 445,"131,34",42,8 487,апр.13
u1742,271 400,253 452,"93,39",42,6 035,апр.13
u541,562 400,579 774,"103,09",53,10 939,апр.13
u127,562 400,581 306,"103,36",64,9 083,апр.13
u1736,562 400,579 452,"103,03",68,8 521,апр.13
u1739,562 400,578 824,"102,92",68,8 512,апр.13
u1333,299 750,275 623,"91,95",41,6 723,апр.13
u1744,299 750,60 363,"20,14",11,5 488,апр.13
u1746,299 750,189 117,"63,09",22,8 596,апр.13
u704,368 500,320 075,"86,86",43,7 444,апр.13
u1728,368 500,173 858,"47,18",29,5 995,апр.13
u1668,368 500,125 276,"34,00",31,4 041,апр.13
u546,368 500,292 639,"79,41",36,8 129,апр.13
u1747,264 500,288 997,"109,26",42,6 881,апр.13
u1505,452 500,532 485,"117,68",49,10 867,апр.13
u1840,452 500,385 162,"85,12",31,12 425,апр.13
u1928,484 000,639 793,"132,19",75,8 531,апр.13
u1765,484 000,603 461,"124,68",57,10 587,апр.13
u872,484 000,278 282,"57,50",28,9 939,апр.13
u2014,324 750,61 581,"18,96",16,3 849,апр.13
u118,324 750,165 479,"50,96",21,7 880,апр.13
u2016,324 750,561 006,"172,75",47,11 936,апр.13
u781,288 500,53 306,"18,48",7,7 615,апр.13
u854,288 500,177 471,"61,51",15,11 831,апр.13
u130,288 500,620 920,"215,22",62,10 015,апр.13
u2017,288 500,434 254,"150,52",44,9 869,апр.13
u1559,422 250,460 266,"109,00",61,7 545,апр.13
u2078,422 250,184 998,"43,81",25,7 400,апр.13
u776,422 250,507 322,"120,15",58,8 747,апр.13
u467,175 500,169 774,"96,74",15,11 318,апр.13
u111,173 200,227 498,"131,35",20,11 375,апр.13
u101,173 200,200 761,"115,91",24,8 365,апр.13
u896,173 200,230 712,"133,21",25,9 228,апр.13
u1939,225 250,226 515,"100,56",31,7 307,апр.13
u192,225 250,243 362,"108,04",22,11 062,апр.13
u1822,416 800,434 318,"104,20",56,7 756,апр.13
u194,416 800,431 883,"103,62",57,7 577,апр.13
u120,416 800,432 911,"103,87",57,7 595,апр.13
u193,416 800,450 950,"108,19",59,7 643,апр.13
u244,606 250,497 178,"82,01",63,7 892,апр.13
u250,606 250,427 118,"70,45",55,7 766,апр.13
u662,606 250,308 933,"50,96",56,5 517,апр.13
u255,606 250,578 369,"95,40",74,7 816,апр.13
u1724,664 000,626 116,"94,29",52,12 041,апр.13
u1366,664 000,687 025,"103,47",62,11 081,апр.13
u677,664 000,770 790,"116,08",58,13 289,апр.13
u183,664 000,731 271,"110,13",76,9 622,апр.13
u243,244 000,87 432,"35,83",15,5 829,апр.13
u247,244 000,279 632,"114,60",32,8 739,апр.13
u14,244 000,203 675,"83,47",27,7 544,апр.13
u146,299 250,302 951,"101,24",34,8 910,апр.13
u856,228 000,243 882,"106,97",26,9 380,апр.13
u858,228 000,247 189,"108,42",31,7 974,апр.13
u860,228 000,270 950,"118,84",31,8 740,апр.13
u861,228 000,229 489,"100,65",22,10 431,апр.13
u1626,408 250,113 923,"27,91",10,11 392,апр.13
u1627,408 250,423 186,"103,66",49,8 636,апр.13
u1901,408 250,427 180,"104,64",52,8 215,апр.13
u586,408 250,367 418,"90,00",48,7 655,апр.13
u1923,336 000,457 813,"136,25",41,11 166,апр.13
u320,336 000,450 315,"134,02",59,7 632,апр.13
u1778,751 500,698 937,"93,01",72,9 707,апр.13
u818,751 500,562 334,"74,83",62,9 070,апр.13
u1782,751 500,677 785,"90,19",72,9 414,апр.13
u1786,751 500,759 835,"101,11",71,10 702,апр.13
u2032,187 400,148 628,"79,31",20,7 431,апр.13
u371,187 400,300 115,"160,15",25,12 005,апр.13
u360,187 400,166 796,"89,01",22,7 582,апр.13
u263,453 400,357 280,"78,80",43,8 309,апр.13
u2085,453 400,238 898,"52,69",29,8 238,апр.13
u1522,453 400,433 929,"95,71",50,8 679,апр.13
u2091,453 400,317 310,"69,98",42,7 555,апр.13
u2094,453 400,136 155,"30,03",27,5 043,апр.13
u1754,632 750,167 587,"26,49",18,9 310,апр.13
u33,632 750,510 461,"80,67",61,8 368,апр.13
u2092,632 750,645 636,"102,04",80,8 070,апр.13
u2082,129 800,304 756,"234,79",30,10 159,апр.13
u2086,129 800,192 958,"148,66",26,7 421,апр.13
u492,129 800,263 271,"202,83",24,10 970,апр.13
u461,129 800,301 047,"231,93",32,9 408,апр.13
u1397,560 750,559 286,"99,74",70,7 990,апр.13
u1591,560 750,482 846,"86,11",61,7 916,апр.13
u31,560 750,671 014,"119,66",62,10 823,апр.13
u150,560 750,240 533,"42,89",30,8 018,апр.13
u43,233 500,126 821,"54,31",14,9 059,апр.13
u1817,233 500,277 351,"118,78",37,7 496,апр.13
u898,233 500,228 451,"97,84",30,7 615,апр.13
u66,504 500,209 921,"41,61",14,14 994,апр.13
u68,504 500,808 818,"160,32",73,11 080,апр.13
u69,504 500,628 255,"124,53",73,8 606,апр.13
u70,504 500,625 437,"123,97",75,8 339,апр.13
u1753,248 750,259 888,"104,48",22,11 813,апр.13
u469,248 750,201 951,"81,19",25,8 078,апр.13
u51,248 750,290 440,"116,76",32,9 076,апр.13
u204,406 750,286 760,"70,50",38,7 546,апр.13
u213,406 750,403 314,"99,16",45,8 963,апр.13
u222,406 750,391 682,"96,30",34,11 520,апр.13
u684,406 750,383 283,"94,23",46,8 332,апр.13
u216,466 000,532 613,"114,29",72,7 397,апр.13
u223,466 000,545 032,"116,96",61,8 935,апр.13
u813,466 000,525 313,"112,73",45,11 674,апр.13
u225,402 000,196 930,"48,99",28,7 033,апр.13
u226,402 000,869 637,"216,33",66,13 176,апр.13
u814,402 000,394 221,"98,06",46,8 570,апр.13
u1864,466 500,428 414,"91,84",47,9 115,апр.13
u198,466 500,357 398,"76,61",40,8 935,апр.13
u209,466 500,337 690,"72,39",40,8 442,апр.13
u219,466 500,241 700,"51,81",38,6 361,апр.13
u200,500 500,503 128,"100,53",46,10 938,апр.13
u7,500 500,230 769,"46,11",38,6 073,апр.13
u215,500 500,556 572,"111,20",60,9 276,апр.13
u221,500 500,690 717,"138,01",72,9 593,апр.13
u736,328 000,354 894,"108,20",43,8 253,апр.13
u232,328 000,356 302,"108,63",43,8 286,апр.13
u233,328 000,215 143,"65,59",30,7 171,апр.13
u229,328 000,353 172,"107,67",37,9 545,апр.13
u794,623 500,756 698,"121,36",82,9 228,апр.13
u798,623 500,854 992,"137,13",68,12 573,апр.13
u787,502 250,639 275,"127,28",49,13 046,апр.13
u790,502 250,472 147,"94,01",42,11 242,апр.13
u802,502 250,462 942,"92,17",49,9 448,апр.13
u1893,502 250,507 097,"100,97",49,10 349,апр.13
u1417,407 200,458 735,"112,66",31,14 798,апр.13
u1441,407 200,428 147,"105,14",26,16 467,апр.13
u107,407 200,430 884,"105,82",35,12 311,апр.13
u800,407 200,434 738,"106,76",39,11 147,апр.13
u622,407 200,466 581,"114,58",52,8 973,апр.13
u865,472 250,441 817,"93,56",62,7 126,апр.13
u687,472 250,563 692,"119,36",60,9 395,апр.13
u1603,472 250,311 954,"66,06",41,7 609,апр.13
u688,472 250,421 910,"89,34",51,8 273,апр.13
u869,525 000,933 525,"177,81",90,10 372,апр.13
u165,525 000,878 043,"167,25",73,12 028,апр.13
u1447,525 000,594 985,"113,33",133,4 474,апр.13
u5,525 000,67 498,"12,86",19,3 553,апр.13
u137,298 000,696 457,"233,71",71,9 809,апр.13
u1404,298 000,594 999,"199,66",67,8 881,апр.13
u618,300 500,517 176,"172,11",56,9 235,апр.13
u1400,300 500,116 854,"38,89",9,12 984,апр.13
u1401,300 500,523 246,"174,13",57,9 180,апр.13
u524,300 500,99 051,"32,96",8,12 381,апр.13
u1402,578 000,587 021,"101,56",78,7 526,апр.13
u1405,578 000,602 704,"104,27",80,7 534,апр.13
u1407,578 000,404 029,"69,90",57,7 088,апр.13
u591,578 000,605 094,"104,69",65,9 309,апр.13
u230,315 250,415 851,"131,91",36,11 551,апр.13
u1941,315 250,317 546,"100,73",20,15 877,апр.13
u820,315 250,350 410,"111,15",35,10 012,апр.13
u1,315 250,263 010,"83,43",32,8 219,апр.13
u1810,648 500,652 380,"100,60",58,11 248,апр.13
u1485,648 500,660 905,"101,91",62,10 660,апр.13
u13,648 500,653 810,"100,82",53,12 336,апр.13
u1863,316 000,317 347,"100,43",33,9 617,апр.13
u1616,316 000,349 321,"110,54",46,7 594,апр.13
u1620,316 000,366 603,"116,01",44,8 332,апр.13
u1618,495 000,519 846,"105,02",60,8 664,апр.13
u1430,495 000,262 932,"53,12",34,7 733,апр.13
u208,495 000,264 985,"53,53",31,8 548,апр.13
u1890,495 000,511 847,"103,40",35,14 624,апр.13
u1607,429 250,442 384,"103,06",48,9 216,апр.13
u6,429 250,466 483,"108,67",36,12 958,апр.13
u762,516 667,652 971,"126,38",61,10 704,апр.13
u1801,516 667,607 949,"117,67",49,12 407,апр.13
u1629,516 667,535 524,"103,65",47,11 394,апр.13
u1804,516 667,394 087,"76,27",32,12 315,апр.13
u1977,583 333,492 465,"84,42",39,12 627,апр.13
u518,583 333,823 912,"141,24",49,16 815,апр.13
u1578,583 333,609 294,"104,45",47,12 964,апр.13
u921,583 333,299 629,"51,36",26,11 524,апр.13
u491,583 333,477 400,"81,84",38,12 563,апр.13
u1797,340 000,265 952,"78,22",29,9 171,апр.13
u1853,340 000,181 616,"53,42",19,9 559,апр.13
u1602,296 250,287 645,"97,10",26,11 063,апр.13
u1686,296 250,308 841,"104,25",33,9 359,апр.13
u1851,296 250,374 980,"126,58",35,10 714,апр.13
u1909,216 667,221 209,"102,10",26,8 508,апр.13
u1911,216 667,300 805,"138,83",23,13 078,апр.13
u1913,216 667,246 209,"113,63",28,8 793,апр.13
u1915,216 667,267 550,"123,48",25,10 702,апр.13
u683,216 667,275 604,"127,20",27,10 208,апр.13
u1595,216 667,246 879,"113,94",23,10 734,апр.13
u1910,162 500,105 203,"64,74",14,7 515,апр.13
u1908,162 500,104 483,"64,30",15,6 966,апр.13
u1912,162 500,140 451,"86,43",14,10 032,апр.13
u2047,361 250,401 016,"111,01",61,6 574,апр.13
u2049,361 250,238 758,"66,09",16,14 922,апр.13
u2048,361 250,446 263,"123,53",31,14 396,апр.13
u2051,361 250,509 632,"141,07",41,12 430,апр.13
u1506,0,101 874,,25,4 075,апр.13
u1492,0,68 416,,5,13 683,апр.13
u1292,0,782,,4,196,апр.13
u341,0,604,,1,604,апр.13
u205,0,414 798,,65,6 382,апр.13
u1369,0,182 230,,25,7 289,апр.13
u1695,0,2 824,,20,141,апр.13
u1870,0,459 233,,58,7 918,апр.13
u1558,0,85 564,,5,17 113,апр.13
u1697,0,4 490,,16,281,апр.13
u336,0,275 630,,33,8 352,апр.13
u459,0,69 760,,8,8 720,апр.13
u63,0,84 434,,19,4 444,апр.13
u1347,0,1 493,,8,187,апр.13
u836,0,249 597,,30,8 320,апр.13
u1818,0,295 200,,42,7 029,апр.13
u48,236 000,379 755,"160,91",43,8 832,май.13
u1506,370 841,142 758,"38,50",46,3 103,май.13
u1425,370 841,603 380,"162,71",50,12 068,май.13
u759,370 841,444 650,"119,90",45,9 881,май.13
u121,370 841,463 381,"124,95",58,7 989,май.13
u1969,500 000,735 868,"147,17",80,9 198,май.13
u1701,500 000,334 193,"66,84",40,8 355,май.13
