uid,Пол,ДатаРождения,ДатаПриема,УИН Подразделения,ЭтоРуководитель,Место рождения,Должность
u21,ж,07.11.1973,01.04.2011,97ff0678-cd05-11e2-8fe6-ac162d794eee,0,Алдан,Старший продавец-кассир
u25,ж,15.10.1984,01.04.2011,cb70eb81-d58c-11e1-a52a-001b789beaf2,1,Алексеево-Дружковка,Управляющий
u26,ж,15.10.1984,01.04.2011,cb70eb81-d58c-11e1-a52a-001b789beaf2,1,Алексеево-Дружковка,Управляющий
u27,ж,11.02.1969,01.04.2011,4f888644-5db4-11e3-a917-ac162d794eee,0,Алексин,Продавец-кассир
u33,ж,23.03.1971,01.04.2011,f2026a08-616d-11e3-a917-ac162d794eee,0,Алма-Ата,Старший продавец-кассир
u44,ж,20.01.1979,01.04.2011,18799ada-7286-11e0-a872-001b789beaf2,0,Анастасиевская,Продавец-кассир
u45,ж,20.01.1979,01.04.2011,18799ada-7286-11e0-a872-001b789beaf2,0,Анастасиевская,Продавец-кассир
u46,ж,26.06.1983,01.04.2011,2513a7ab-da5f-11e2-8bd0-ac162d794eee,1,Анат-Киняры,Управляющий
u49,ж,31.12.1982,01.04.2011,18799add-7286-11e0-a872-001b789beaf2,1,Ангарск,Управляющий
u52,ж,02.01.1982,01.04.2011,18799add-7286-11e0-a872-001b789beaf2,1,Ангуй лзу,Управляющий
u59,ж,15.06.1985,01.04.2011,9cbea440-727a-11e0-a872-001b789beaf2,0,Армавир,Продавец-кассир
u60,ж,07.05.1981,01.04.2011,90093b53-616a-11e3-a917-ac162d794eee,0,Армизонское,Старший продавец-кассир
u64,ж,14.02.1985,01.04.2011,9cbea404-727a-11e0-a872-001b789beaf2,1,Аскино,Управляющий
u65,ж,18.06.1985,01.04.2011,9cbea433-727a-11e0-a872-001b789beaf2,0,Астрахань,Старший продавец-кассир
u73,ж,01.12.1985,01.04.2011,18799aed-7286-11e0-a872-001b789beaf2,1,Аткарск,Управляющий
u74,ж,01.12.1985,01.04.2011,18799aed-7286-11e0-a872-001b789beaf2,1,Аткарск,Управляющий
u76,ж,05.08.1980,01.04.2011,31df015c-6d01-11e0-a872-001b789beaf2,0,Атяшево,Ведущий инспектор по кадрам
u77,ж,05.08.1980,01.04.2011,31df015c-6d01-11e0-a872-001b789beaf2,0,Атяшево,Ведущий инспектор по кадрам
u78,ж,28.03.1988,01.04.2011,18799ae2-7286-11e0-a872-001b789beaf2,0,Атяшево,Продавец-кассир
u84,ж,25.04.1982,01.04.2011,9cbea435-727a-11e0-a872-001b789beaf2,1,Ашхабад,Управляющий
u90,ж,19.03.1973,01.04.2011,18799af5-7286-11e0-a872-001b789beaf2,0,Баку,Продавец-кассир
u91,ж,29.08.1982,01.04.2011,a83b44d9-636c-11e1-933a-001b789beaf2,0,Шумерля,Заместитель управляющего
u95,ж,26.10.1986,01.04.2011,18799af2-7286-11e0-a872-001b789beaf2,1,Балакирево,Управляющий
u107,ж,12.04.1974,01.04.2011,18799ada-7286-11e0-a872-001b789beaf2,0,Белая Глина,Старший продавец-кассир
u110,ж,02.07.1982,01.04.2011,18799afb-7286-11e0-a872-001b789beaf2,1,Белая Церковь,Управляющий
u114,ж,22.06.1990,01.04.2011,2872f0b4-722e-11e0-a872-001b789beaf2,0,Белебей,Старший продавец-кассир
u115,ж,06.07.1988,01.04.2011,2872f0a2-722e-11e0-a872-001b789beaf2,0,Белозерский,Продавец-кассир
u116,ж,03.11.1986,01.04.2011,2872f0b2-722e-11e0-a872-001b789beaf2,1,Белоозерский,Управляющий
u121,ж,25.05.1973,01.04.2011,18799afd-7286-11e0-a872-001b789beaf2,0,Березники,Старший продавец-кассир
u122,ж,25.05.1973,01.04.2011,18799afd-7286-11e0-a872-001b789beaf2,0,Березники,Старший продавец-кассир
u124,ж,06.02.1983,01.04.2011,18799adc-7286-11e0-a872-001b789beaf2,1,Билибино,Управляющий
u125,ж,06.04.1977,01.04.2011,2872f098-722e-11e0-a872-001b789beaf2,0,Бирлестик,Территориальный менеджер
u129,ж,25.09.1979,01.04.2011,18799af8-7286-11e0-a872-001b789beaf2,1,Благовещенск,Управляющий
u133,ж,04.07.1987,01.04.2011,3fb5475a-c2a1-11e2-a9a2-ac162d794eee,1,Богородицк,Управляющий
u134,ж,04.07.1987,01.04.2011,3fb5475a-c2a1-11e2-a9a2-ac162d794eee,1,Богородицк,Управляющий
u136,ж,29.03.1983,01.04.2011,2872f0bd-722e-11e0-a872-001b789beaf2,0,Богородское,Старший продавец-кассир
u142,ж,12.03.1979,01.04.2011,18799add-7286-11e0-a872-001b789beaf2,1,Братск,Управляющий
u145,ж,06.01.1982,01.04.2011,2872f0b4-722e-11e0-a872-001b789beaf2,1,Бронницы,Управляющий
u148,ж,04.05.1984,01.04.2011,18799af6-7286-11e0-a872-001b789beaf2,0,Брянск,Продавец-кассир
u149,ж,01.06.1986,01.04.2011,18799adc-7286-11e0-a872-001b789beaf2,0,Брянский,Старший продавец-кассир
u165,ж,13.03.1976,01.04.2011,9cbea441-727a-11e0-a872-001b789beaf2,0,Верхне-Кольцев,Продавец-кассир
u167,ж,11.06.1986,01.04.2011,5a51116d-d4bf-11e2-8bd0-ac162d794eee,1,Верхние Серги,Управляющий
u176,ж,18.07.1988,01.04.2011,9cbea428-727a-11e0-a872-001b789beaf2,0,Вещево,Продавец-кассир
u177,ж,22.06.1971,01.04.2011,2872f0b7-722e-11e0-a872-001b789beaf2,1,Видное,Управляющий
u182,ж,27.08.1974,01.04.2011,2872f0b3-722e-11e0-a872-001b789beaf2,0,Витебск,Старший продавец-кассир
u183,ж,28.03.1976,01.04.2011,cebff860-82b4-11e0-bf4a-001b789beaf2,0,Вишневка,Старший продавец-кассир
u184,ж,20.08.1985,01.04.2011,9cbea418-727a-11e0-a872-001b789beaf2,0,Владивосток,Старший продавец-кассир
u189,ж,11.02.1966,01.04.2011,9cbea41d-727a-11e0-a872-001b789beaf2,1,Владимир,Управляющий
u192,ж,06.10.1984,01.04.2011,5a51116c-d4bf-11e2-8bd0-ac162d794eee,0,Владимир,Старший продавец-кассир
u194,ж,15.03.1980,01.04.2011,9cbea41d-727a-11e0-a872-001b789beaf2,0,Владимир,Старший продавец-кассир
u198,ж,17.07.1983,01.04.2011,9cbea430-727a-11e0-a872-001b789beaf2,0,Волгоград,Продавец-кассир
u199,ж,11.03.1975,01.04.2011,9cbea42f-727a-11e0-a872-001b789beaf2,1,Волгоград,Управляющий
u202,ж,10.07.1982,01.04.2011,9cbea42f-727a-11e0-a872-001b789beaf2,0,Волгоград,Продавец-кассир
u204,ж,26.12.1985,01.04.2011,9cbea42e-727a-11e0-a872-001b789beaf2,0,Волгоград,Продавец-кассир
u207,ж,03.07.1986,01.04.2011,9cbea42d-727a-11e0-a872-001b789beaf2,1,Волгоград,Управляющий
u208,ж,18.04.1991,01.04.2011,69da17e7-8934-11e1-b1e2-001b789beaf2,0,Волгоград,Старший продавец-кассир
u209,ж,17.10.1971,01.04.2011,9cbea430-727a-11e0-a872-001b789beaf2,0,Волгоград,Старший продавец-кассир
u211,ж,17.07.1981,01.04.2011,2872f0aa-722e-11e0-a872-001b789beaf2,1,Волгоград,Управляющий
u213,ж,17.11.1971,01.04.2011,9cbea432-727a-11e0-a872-001b789beaf2,0,Волгоград,Старший продавец-кассир
u214,ж,24.05.1975,01.04.2011,9cbea431-727a-11e0-a872-001b789beaf2,0,Волгоград,Заместитель управляющего
u215,ж,12.10.1975,01.04.2011,9cbea431-727a-11e0-a872-001b789beaf2,0,Волгоград,Старший продавец-кассир
u219,ж,17.06.1982,01.04.2011,9cbea432-727a-11e0-a872-001b789beaf2,0,Волгоград,Старший продавец-кассир
u220,ж,10.01.1975,01.04.2011,9cbea430-727a-11e0-a872-001b789beaf2,1,Волгоград,Управляющий
u221,ж,06.09.1979,01.04.2011,9cbea431-727a-11e0-a872-001b789beaf2,0,Волгоград,Заместитель управляющего
u222,ж,24.05.1977,01.04.2011,9cbea42e-727a-11e0-a872-001b789beaf2,0,Волгоград,Старший продавец-кассир
u223,ж,25.05.1984,01.04.2011,9cbea42f-727a-11e0-a872-001b789beaf2,0,Волгоград,Продавец-кассир
u226,ж,23.01.1973,01.04.2011,9cbea430-727a-11e0-a872-001b789beaf2,0,Волгоград,Старший продавец-кассир
u231,ж,18.08.1985,01.04.2011,9cbea42d-727a-11e0-a872-001b789beaf2,0,Волжский,Старший продавец-кассир
u233,ж,17.04.1984,01.04.2011,9cbea42d-727a-11e0-a872-001b789beaf2,0,Волжский,Старший продавец-кассир
u238,ж,29.03.1984,01.04.2011,18799af1-7286-11e0-a872-001b789beaf2,1,Волочково,Управляющий
u240,ж,07.07.1985,01.04.2011,a25ac65c-be5e-11e0-bf4a-001b789beaf2,1,Воробьевка,Управляющий
u244,ж,30.04.1977,01.04.2011,a25ac65c-be5e-11e0-bf4a-001b789beaf2,0,Воронеж,Заместитель управляющего
u256,ж,12.07.1985,01.04.2011,18799afd-7286-11e0-a872-001b789beaf2,0,Воскресенск,Продавец-кассир
u261,ж,19.11.1980,01.04.2011,9cbea423-727a-11e0-a872-001b789beaf2,0,Всеволжск,Продавец-кассир
u262,ж,25.11.1983,01.04.2011,9cbea429-727a-11e0-a872-001b789beaf2,1,Всеволожск,Управляющий
u266,ж,18.10.1974,01.04.2011,9cbea428-727a-11e0-a872-001b789beaf2,0,Выборг,Продавец-кассир
u267,ж,05.05.1983,01.04.2011,9cbea428-727a-11e0-a872-001b789beaf2,1,Выборг,Управляющий
u268,м,22.04.1966,01.04.2011,aff6514e-e4ee-11e0-9c6e-001b789beaf2,1,Выгода,Управляющий
u271,ж,03.10.1970,01.04.2011,9cbea428-727a-11e0-a872-001b789beaf2,0,Вышний Волочек,Старший продавец-кассир
u288,ж,14.09.1987,01.04.2011,9cbea416-727a-11e0-a872-001b789beaf2,0,Москва,Продавец-кассир
u299,ж,19.04.1978,01.04.2011,9cbea431-727a-11e0-a872-001b789beaf2,1,Волгоград,Управляющий
u319,ж,04.05.1984,01.04.2011,18799ae8-7286-11e0-a872-001b789beaf2,0,Гиагинская,Продавец-кассир
u476,ж,08.02.1973,01.04.2011,2872f0ae-722e-11e0-a872-001b789beaf2,1,Гусь-Железный,Заместитель управляющего
u491,ж,11.09.1975,01.04.2011,9cbea43f-727a-11e0-a872-001b789beaf2,0,Дагомыс Сочи,Старший продавец-кассир
u518,ж,02.08.1970,01.04.2011,6623be4c-dc92-11e1-a52a-001b789beaf2,0,Долгий Лог,Продавец-кассир
u524,ж,02.01.1985,01.04.2011,9cbea43a-727a-11e0-a872-001b789beaf2,1,Дорожный,Управляющий
u526,ж,09.01.1976,01.04.2011,2872f0ba-722e-11e0-a872-001b789beaf2,0,Дрездна,Старший продавец-кассир
u530,м,07.11.1963,01.04.2011,2872f098-722e-11e0-a872-001b789beaf2,0,Дровянная,Территориальный менеджер
u535,ж,31.03.1981,01.04.2011,2872f0b9-722e-11e0-a872-001b789beaf2,0,Дубоссары,Старший продавец-кассир
u544,ж,11.03.1978,01.04.2011,9cbea406-727a-11e0-a872-001b789beaf2,1,Екатеринбург,Управляющий
u546,ж,09.08.1981,01.04.2011,9cbea409-727a-11e0-a872-001b789beaf2,0,Екатеринбург,Старший продавец-кассир
u547,ж,09.08.1981,01.04.2011,9cbea409-727a-11e0-a872-001b789beaf2,0,Екатеринбург,Старший продавец-кассир
u553,ж,20.05.1967,01.04.2011,2872f0bd-722e-11e0-a872-001b789beaf2,0,Ереван,Продавец-кассир
u554,ж,14.08.1959,01.04.2011,18799af5-7286-11e0-a872-001b789beaf2,1,Ереван,Управляющий
u559,ж,11.12.1985,01.04.2011,18799af2-7286-11e0-a872-001b789beaf2,1,Ершовка,Управляющий
u566,ж,15.12.1982,01.04.2011,9cbea436-727a-11e0-a872-001b789beaf2,1,Жанатас,Управляющий
u567,ж,18.09.1977,01.04.2011,2872f0bd-722e-11e0-a872-001b789beaf2,0,Ждановский,Продавец-кассир
u581,ж,19.06.1973,01.04.2011,2872f0bd-722e-11e0-a872-001b789beaf2,0,Загорск,Продавец-кассир
u583,ж,01.09.1966,01.04.2011,0b41653f-15b7-11e1-80c3-001b789beaf2,1,Запорожье,Управляющий
u584,ж,12.02.1978,01.04.2011,62e96d4b-0dfc-11e2-be8a-001b789beaf2,0,Запорожье,Менеджер по товарной логистике
u585,ж,12.02.1978,01.04.2011,62e96d4b-0dfc-11e2-be8a-001b789beaf2,0,Запорожье,Менеджер по товарной логистике
u587,ж,16.02.1983,01.04.2011,9cbea425-727a-11e0-a872-001b789beaf2,0,Зарубино,Старший продавец-кассир
u588,ж,04.10.1986,01.04.2011,9cbea438-727a-11e0-a872-001b789beaf2,1,Зверево,Управляющий
u595,ж,10.10.1984,01.04.2011,9cbea415-727a-11e0-a872-001b789beaf2,0,Златоуст,Продавец-кассир
u617,ж,12.02.1990,01.04.2011,18799aee-7286-11e0-a872-001b789beaf2,0,Ильинское-Усово,Старший продавец-кассир
u618,ж,14.02.1978,01.04.2011,9cbea43a-727a-11e0-a872-001b789beaf2,0,Ильичевка,Старший продавец-кассир
u619,ж,14.02.1978,01.04.2011,9cbea43a-727a-11e0-a872-001b789beaf2,0,Ильичевка,Старший продавец-кассир
u622,ж,15.05.1971,01.04.2011,18799ada-7286-11e0-a872-001b789beaf2,0,Инта,Продавец-кассир
u628,ж,13.10.1980,01.04.2011,62e96d4a-0dfc-11e2-be8a-001b789beaf2,0,Йошкар-Ола,Менеджер по товарной логистике
u629,ж,13.10.1980,01.04.2011,62e96d4a-0dfc-11e2-be8a-001b789beaf2,0,Йошкар-Ола,Менеджер по товарной логистике
u630,ж,07.04.1966,01.04.2011,9cbea42a-727a-11e0-a872-001b789beaf2,1,Ирбит,Управляющий
u631,ж,23.04.1986,01.04.2011,9cbea424-727a-11e0-a872-001b789beaf2,0,Иркутск,Старший продавец-кассир
u632,ж,31.07.1980,01.04.2011,18799add-7286-11e0-a872-001b789beaf2,0,Иркутск,Продавец-кассир
u638,ж,15.03.1987,01.04.2011,18799add-7286-11e0-a872-001b789beaf2,0,Иркутск,Старший продавец-кассир
u639,ж,17.08.1983,01.04.2011,5a51116b-d4bf-11e2-8bd0-ac162d794eee,1,Иркутск,Управляющий
u641,ж,26.03.1989,01.04.2011,18799adc-7286-11e0-a872-001b789beaf2,0,Иркутск,Старший продавец-кассир
u644,ж,23.01.1979,01.04.2011,f059009d-b094-11e2-9998-001b789beaf2,1,Искра,Управляющий
u654,ж,13.06.1969,01.04.2011,18799ae7-7286-11e0-a872-001b789beaf2,0,Казань,Старший продавец-кассир
u655,ж,17.03.1962,01.04.2011,6fbb2818-f632-11e0-9c6e-001b789beaf2,0,Казань,Продавец-кассир
u658,ж,10.08.1971,01.04.2011,6fbb2818-f632-11e0-9c6e-001b789beaf2,0,Казань,Продавец-кассир 1 категории
u660,ж,12.10.1980,01.04.2011,6fbb2818-f632-11e0-9c6e-001b789beaf2,0,Казань,Старший продавец-кассир
u661,ж,16.01.1980,01.04.2011,6fbb2818-f632-11e0-9c6e-001b789beaf2,0,Казань,Продавец-кассир
u668,ж,28.06.1985,01.04.2011,18799af5-7286-11e0-a872-001b789beaf2,0,Калининград,Продавец-кассир
u669,ж,28.06.1985,01.04.2011,18799af5-7286-11e0-a872-001b789beaf2,0,Калининград,Продавец-кассир
u677,ж,18.08.1983,01.04.2011,9cbea41b-727a-11e0-a872-001b789beaf2,0,Калоча,Старший продавец-кассир
u681,ж,20.02.1988,01.04.2011,2872f0b3-722e-11e0-a872-001b789beaf2,0,Каменка,Продавец-кассир
u684,ж,23.09.1988,01.04.2011,9cbea42e-727a-11e0-a872-001b789beaf2,0,Каменный,Старший продавец-кассир
u687,ж,18.12.1980,01.04.2011,9cbea439-727a-11e0-a872-001b789beaf2,0,Каменск-Шахтинский,Старший продавец-кассир
u688,ж,08.08.1979,01.04.2011,9cbea439-727a-11e0-a872-001b789beaf2,0,Каменск-Шахтинский,Старший продавец-кассир
u695,ж,17.02.1982,01.04.2011,9cbea426-727a-11e0-a872-001b789beaf2,0,Кандалакша,Старший продавец-кассир
u700,ж,09.12.1976,01.04.2011,9cbea416-727a-11e0-a872-001b789beaf2,1,Караганда,Управляющий
u701,ж,09.12.1976,01.04.2011,9cbea416-727a-11e0-a872-001b789beaf2,1,Караганда,Управляющий
u706,ж,25.07.1983,01.04.2011,fc8f3b93-e535-11e1-a52a-001b789beaf2,0,Касимов,Сервис - менеджер
u710,ж,13.04.1977,01.04.2011,9cbea432-727a-11e0-a872-001b789beaf2,0,Качалино,Продавец-кассир
u716,ж,07.04.1973,01.04.2011,18799ade-7286-11e0-a872-001b789beaf2,0,Кемерово,Продавец-кассир
u717,ж,09.10.1979,01.04.2011,18799ade-7286-11e0-a872-001b789beaf2,1,Кемерово,Управляющий
u719,ж,22.07.1985,01.04.2011,18799ade-7286-11e0-a872-001b789beaf2,0,Кемерово,Старший продавец-кассир
u720,ж,11.03.1971,01.04.2011,18799ade-7286-11e0-a872-001b789beaf2,0,Кемерово,Продавец-кассир
u730,ж,24.11.1982,01.04.2011,9cbea426-727a-11e0-a872-001b789beaf2,0,Кириши,Старший продавец-кассир
u731,ж,13.01.1984,01.04.2011,9cbea426-727a-11e0-a872-001b789beaf2,0,Кириши,Старший продавец-кассир
u732,ж,03.03.1982,01.04.2011,9cbea426-727a-11e0-a872-001b789beaf2,0,Кириши,Продавец-кассир
u739,ж,06.09.1982,01.04.2011,9cbea43b-727a-11e0-a872-001b789beaf2,0,Кисличеваша,Продавец-кассир
u747,ж,22.02.1980,01.04.2011,18799afb-7286-11e0-a872-001b789beaf2,0,Клинцы,Продавец-кассир
u748,ж,22.02.1980,01.04.2011,18799afb-7286-11e0-a872-001b789beaf2,0,Клинцы,Продавец-кассир
u749,ж,22.12.1985,01.04.2011,2872f0b3-722e-11e0-a872-001b789beaf2,0,Клинцы,Старший продавец-кассир
u750,ж,09.05.1978,01.04.2011,9cbea41a-727a-11e0-a872-001b789beaf2,1,Клопицы,Управляющий
u751,ж,09.05.1978,01.04.2011,9cbea41a-727a-11e0-a872-001b789beaf2,1,Клопицы,Управляющий
u756,ж,01.06.1987,01.04.2011,9cbea414-727a-11e0-a872-001b789beaf2,0,Кокчетав,Продавец-кассир
u758,ж,25.04.1980,01.04.2011,18799afd-7286-11e0-a872-001b789beaf2,0,Коломна,Старший продавец-кассир
u759,ж,19.12.1969,01.04.2011,18799afd-7286-11e0-a872-001b789beaf2,0,Коломна,Продавец-кассир
u762,ж,27.03.1975,01.04.2011,9cbea43e-727a-11e0-a872-001b789beaf2,1,Коммунарск,Управляющий
u767,ж,11.07.1961,01.04.2011,2872f091-722e-11e0-a872-001b789beaf2,0,Константиновка,Руководитель проектов
u772,ж,31.05.1988,01.04.2011,62e96d4b-0dfc-11e2-be8a-001b789beaf2,0,Королев,Менеджер по товарной логистике
u773,ж,31.05.1988,01.04.2011,62e96d4b-0dfc-11e2-be8a-001b789beaf2,0,Королев,Менеджер по товарной логистике
u775,ж,15.07.1986,01.04.2011,9cbea41f-727a-11e0-a872-001b789beaf2,0,Кострома,Старший продавец-кассир
u776,ж,08.09.1979,01.04.2011,9cbea41f-727a-11e0-a872-001b789beaf2,1,Кострома,Управляющий
u779,ж,27.03.1985,01.04.2011,9cbea42f-727a-11e0-a872-001b789beaf2,0,Котово,Продавец-кассир
u787,ж,19.03.1974,01.04.2011,9cbea443-727a-11e0-a872-001b789beaf2,0,Краснодар,Старший продавец-кассир
u790,м,22.02.1988,01.04.2011,9cbea443-727a-11e0-a872-001b789beaf2,0,Краснодар,Старший продавец-кассир
u791,ж,02.04.1973,01.04.2011,9cbea443-727a-11e0-a872-001b789beaf2,1,Краснодар,Управляющий
u792,ж,02.04.1973,01.04.2011,9cbea443-727a-11e0-a872-001b789beaf2,1,Краснодар,Управляющий
u796,ж,05.04.1972,01.04.2011,18799ada-7286-11e0-a872-001b789beaf2,1,Краснодар,Управляющий
u798,ж,17.01.1980,01.04.2011,18799ad9-7286-11e0-a872-001b789beaf2,0,Краснодар,Старший продавец-кассир
u799,ж,27.01.1975,01.04.2011,18799ad9-7286-11e0-a872-001b789beaf2,1,Краснодар,Управляющий
u800,ж,15.09.1970,01.04.2011,18799ad9-7286-11e0-a872-001b789beaf2,0,Краснодар,Продавец-кассир
u801,ж,23.11.1989,01.04.2011,18799ad9-7286-11e0-a872-001b789beaf2,0,Краснодар,Продавец-кассир
u802,ж,24.06.1975,01.04.2011,9cbea443-727a-11e0-a872-001b789beaf2,0,Краснодар,Продавец-кассир
u806,ж,01.06.1973,01.04.2011,2872f0bd-722e-11e0-a872-001b789beaf2,1,Краснозаводск,Управляющий
u810,ж,29.08.1984,01.04.2011,9cbea431-727a-11e0-a872-001b789beaf2,1,Краснослободск,Управляющий
u811,ж,08.05.1978,01.04.2011,18799af4-7286-11e0-a872-001b789beaf2,1,Краснослободск,Управляющий
u813,ж,30.06.1981,01.04.2011,9cbea42f-727a-11e0-a872-001b789beaf2,0,Краснослободск,Старший продавец-кассир
u814,ж,24.03.1983,01.04.2011,9cbea430-727a-11e0-a872-001b789beaf2,0,Краснослободск,Продавец-кассир
u818,ж,18.05.1981,01.04.2011,9cbea419-727a-11e0-a872-001b789beaf2,0,Красный цвет,Старший продавец-кассир
u820,ж,05.12.1987,01.04.2011,9cbea435-727a-11e0-a872-001b789beaf2,0,Крылов,Старший продавец-кассир
u824,ж,02.12.1985,01.04.2011,9cbea428-727a-11e0-a872-001b789beaf2,0,Кубитет,Заместитель управляющего
u826,ж,12.07.1985,01.04.2011,18799afc-7286-11e0-a872-001b789beaf2,0,Кузнецк,Продавец-кассир
u827,ж,28.02.1987,01.04.2011,3249ca9c-fca4-11e1-be8a-001b789beaf2,0,Кузьмино,Старший продавец-кассир
u831,ж,23.11.1981,01.04.2011,18799ae1-7286-11e0-a872-001b789beaf2,0,Куйбышев,Продавец-кассир
u839,ж,07.01.1973,01.04.2011,8db2b46a-6758-11e1-933a-001b789beaf2,0,Куйбышев,Территориальный менеджер
u840,ж,30.09.1981,01.04.2011,520f473a-34a2-11e2-b37d-001b789beaf2,1,Куйбышев,Управляющий
u849,ж,21.05.1979,01.04.2011,2872f0bd-722e-11e0-a872-001b789beaf2,0,Купанское,Продавец-кассир
u850,ж,21.05.1979,01.04.2011,2872f0bd-722e-11e0-a872-001b789beaf2,0,Купанское,Продавец-кассир
