УИН подразделения,1. Устраивают ли Вас условия труда?,,"2. Если не устраивают условия, укажите какие:",,,,,,3. Устраивает ли Вас обеспечение рабочего места всем необходимым?,,"4. Удовлетворены ли Вы режимом работы (график работы, время перерыва, сверхурочные, командировки и т.д.)?",,5. Оплата труда соответствует Вашему трудовому вкладу?,,6. Понятны ли Вам общие критерии оценки Вашего труда?,,7. Понятна ли Вам Ваша система мотивации и система расчета премии?,,8. Считаете ли Вы Ваш заработок соответствующий среднему уровню по рынку труда?,,9. Устраивает ли Вас система поощрения лучших сотрудников?,,"10. Устраивает ли Вас система немонетарной мотивации (конкурсы, мероприятия, подарки)?",,11. Что бы Вы хотели добавить в социальный пакет или изменить в нем:,12. Вы информированы о возможностях Вашего карьерного роста?,,,13. За последний год работы с Вами кто-нибудь обсуждал возможность развития в Компании?,,,14. Можете ли Вы реализовать свои идеи в Компании?,,,,15. Ощущаете ли Вы полезность и важность Вашей работы?,,16. Есть ли у Вас потребность в повышении квалификации?,,"17. Если потребность есть, то какая:",18. Устраивают ли Вас взаимоотношения с руководством?,,"19. Знаете ли Вы к кому можно обратиться для решения проблем, кроме непосредственного руководителя?",,"20. По каким причинам, по Вашему мнению, возникают недоразумения и конфликты:",,,,,,,21. Устраивают ли Вас взаимоотношения со смежными подразделениями?,,,22. Можете ли Вы открыто высказывать непосредственному руководителю свои идеи и предложения?,,23. Признает ли руководство Ваши заслуги?,,"24. Какие, по Вашему мнению, бизнес-процессы в Компании требуют доработки:","25. Пожалуйста, назовите процессы, которые, по Вашему мнению, отлажены и не требуют доработки:",26. Что мешает повышению эффективности работы:,,,,,,,,"27. Что, по Вашему мнению, способствовало бы решению этих проблем:",,,,,28. Вы интересуетесь новостями Компании на портале?,,,29. Из каких источников Вы узнаете информацию об изменениях в компании (множественный выбор):,,,,,30. Чувствуете ли Вы себя информированным о планах и достижениях компании?,,31. Вы получаете достаточно необходимой для работы информации?,,32. Всегда ли Вы своевременно получаете информацию о качестве выполненной работы?,,"33. Понимаете ли Вы свои задачи и функции, которые от Вас ожидает руководство?",,34. Чувствуете ли Вы сопричастность к общему делу развития Компании?,,35. Удовлетворены ли Вы от процессов участия и причастности к проектам Компании?,,"36. Вы можете припомнить случай, когда при общении с партнером (клиентом) Вы проявили нестандартное решение вопроса? Пожалуйста, сообщите, в чем конкретно это заключалось:",37. Ощущаете ли Вы удовлетворенность работой в компании и уверенность в своем будущем в Компании?,,"38. Вы можете назвать свой коллектив сплоченным, объединенным общими целями, нормами поведения, ценностями?",,"39. Устраивают ли Вас взаимоотношения, сложившиеся в Вашем коллективе?",,40. Как Вы можете охарактеризовать атмосферу в коллективе:,,,,,"41. Хватает ли Вам неформального общения с коллегами, обмена мнениями, интересами?",,"42. Какие традиции и правила Компании для Вас ценны, приняты Вами:",43. Какие ценности Компани вами приняты:,,,,,"44. Пожалуйста, оцените в целом уровень корпоративной культуры в Компании по 5-тибальной шкале:",,,,,"45. Пожалуйста, оцените Компанию Чайникофф в качестве работодателя по 5-тибальной шкале:",,,,
e31bfce6-6a69-11e0-a872-001b789beaf2,1,,1,,,,,Не удобное расположение торгового центра,1,,1,,1,,1,,1,,1,,1,,1,,Оплата дороги к месту отдыха и обратно один раз в два года.,1,,,1,,,,1,,,1,,1,,Больше информации.Возможность командировок.,1,,1,,,,,,,,1,1,,,1,,1,,"Формирование ассортимента товара. Взаимодействие с офисом, конкретно с отделами кадров и бухгалтерией",Таких нет.,,,,,1,,1,,,,1,1,1,1,,,1,1,1,1,1,,1,1,,,1,1,,1,,1,,таких много.,1,,1,,1,,,,1,,,1,,все,1,1,1,1,1,,,,1,,,,,,1
dd63a72e-6cfc-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,,1,1,,1,,-,1,,,1,,,,1,,,1,,,1,нет потребности,1,,1,,,,,,,,1,1,,,1,,1,,-,-,,,,,,1,,,,1,1,1,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,-,,1,1,,1,,,,1,,,1,,-,1,1,1,1,1,,,,1,,,,1,,
25f54021-8a87-11e0-bf4a-001b789beaf2,1,,1,,,,1,,1,,1,,1,,1,,,1,1,,1,,1,,,1,,,1,,,1,,,,1,,1,,,1,,1,,,,,,,,1,1,,,1,,1,,*,*,,1,,,,,,,,1,1,1,,1,,,1,1,,1,,1,,1,,1,,1,,1,,1,,*,1,,1,,1,,1,,,,,1,,*,1,1,1,1,1,,,,,1,,,,,1
a647003b-ef6b-11e2-8bd0-ac162d794eee,1,,,,,,1,,,1,1,,1,,1,,1,,1,,1,,1,,"оплата проезда к месту отдыха для работников в районах крайнего севера 1 раз в 2 года с фиксированной суммой, согласно ТК РФ",1,,,1,,,1,,,через директор магазина портал,1,,1,,обучение в 1с,1,,1,,,,,,,,1,1,,,1,,1,,"Услуга веб портала, реклама",нет таких,,1,,1,1,,,,,,1,1,1,1,,,1,1,1,1,,1,,1,,1,,1,,1,,1,,каждый клиент требует индивидуальный подход,1,,1,,1,,,,1,,,1,,"День рождение компании, так же возможность в большие праздники одевать не корпоративный стиль в одежде",1,1,1,1,1,,,,1,,,,,,1
a647003a-ef6b-11e2-8bd0-ac162d794eee,1,,,,,,1,,1,,,1,1,,1,,1,,,1,,1,,1,Оплата проезда к месту отдыха для работающих в районах Крайнего Севера 1 раз в 2 года с фиксированной суммой.,,1,,,1,,,,1,Взаимосвязью и исполнительностью,,1,1,,"Повышение управленческих способностей, более глубокому изучению аналитики, усовершенствовать артикуляцию изделий.",1,,,1,,,,,,,1,,,1,1,,,1," Ассортимент магазина , его товарооборачиваемость, Рекламные компании в регионах, Знакомство с другими магазинами.","Подписание документов. Решение проблем с ""железом"".",1,,,,,,,,,,,1,,1,,,1,,,,1,,1,,1,,1,1,,1,,1,,"случаи были, но не припоминаю,",1,,1,,1,,,1,,,,,1,"Все, что есть, все ценно.",1,,,1,,,,,1,,,,,,1
a758165f-8aa7-11e0-bf4a-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,.,1,,,1,,,1,,,,1,,,1,,1,,1,,,,,,,,1,1,,,1,,1,,"смс-оповещение( своевременное, Корректное отражение условий акции)",Трейд-ин,,,,,,1,,,,1,1,,,1,,,1,1,,1,1,1,,1,,,1,1,,1,,1,,.,1,,1,,1,,1,,,,,1,,День Чайникоффа,1,1,1,1,1,,,,1,,,,,1,
fcc068fa-13a9-11e3-b1ba-ac162d794eee,1,,,,,,1,,1,,,1,,1,1,,1,,,1,,1,,1,.,1,,,,1,,1,,,.,,1,,1,,1,,1,,,1,,,,,,,,1,1,,,1,"Доведение информации до магазина. Примеры: арендодателю прислали уведомление о расторжении договора аренды, а в магазине нет информации; загрузили в ПО доп. скидки, а условия не предоставлены и т.д.",.,,1,,,,1,,,,1,1,1,,1,,,1,1,,1,,,1,1,,1,,1,,,1,,1,.,,1,1,,1,,1,,,,,1,,.,1,1,1,1,1,,,,1,,,,,1,
b9d2f354-c753-11e2-abbd-ac162d794eee,1,,,,,,1,Всё устраивает,1,,1,,,1,1,,1,,1,,1,,1,,Всё устраивает,1,,,1,,,1,,,,1,,,1,,1,,1,,,,,,,,1,1,,,1,,1,,Мотивация зарплаты. 1С.,Стандарты,,,,,,1,,,,1,,1,,1,,,1,1,,,,1,,1,,1,,1,,1,,1,,"Яркого случая не припомню ,в работе бывают разные ситуации , все разрешимы.",1,,1,,1,,,,1,,Приятный коллектив.,1,,Ответственность .поддержка близкого.,1,1,1,1,1,,1,,,,,,,,1
dd63a72c-6cfc-11e0-a872-001b789beaf2,1,,,,,,1,Условия труда устраивают.,1,,1,,1,,1,,1,,1,,1,,1,,"билеты в цирк/музей/выставку для детей сотрудников регионов, контроль за получение новогодних подарков ВСЕХ детей! ( в мое случае, два года из трех, мною отработанных в компании, мой ребенок подарка не получал!)",1,,,,1,,1,,,"Предлагаю и обсуждаю свои идеи, с коллегами и директором магазина на ежедневных планерках, наиболее интересные и реалистичные, передаются на рассмотрение и утверждение тер. менеджеру.",1,,1,,"Что бы быть нужным, необходимо постоянно меняться и развиваться! Мне интересно все, что может хоть как то пригодиться мне в работе!",1,,1,,,1,,,,,,1,,,1,,1,,-,Логистика.,,,,,,,1,,,,1,1,,1,,,1,1,,1,,1,,1,,,1,1,,1,,1,,нет,1,,1,,1,,,,,1,сопричастная )))),1,,...,1,1,1,1,1,,,,,1,,,,,1
dd63a72b-6cfc-11e0-a872-001b789beaf2,,1,,,1,,,"нет условий нормально обедать, запрещены чайники, микроволновки. Питаемся холодной едой",1,,1,,,1,1,,1,,,1,,1,,1,...,,,1,,,1,,1,,.,1,,1,,...,1,,,1,,,,1,,,,1,,,1,,,1,не задумывалась,не знаю,,,,,1,1,,,,,1,1,,,1,,,1,,,1,1,,1,,,1,1,,,1,,1,,,1,1,,1,,,1,,,/,1,,не припомню,,,,,1,,,1,,,,,1,,
25f5402f-8a87-11e0-bf4a-001b789beaf2,1,,,,,,1,,,1,1,,,1,1,,1,,1,,1,,1,,"Сделать очередной оплачиваемый отпуск, один раз в год 28 календарных дней, а не два раза в год по 14 дней.",1,,,1,,,1,,,,1,,1,,Устраивают курсы которые проводит компания.,1,,1,,,,1,,,,,,,1,1,,,1,упростить выдачу КК,-,1,,,,,,1,,,,,1,,,1,,,1,,1,1,1,,1,,1,,1,,,1,,1,-,,1,1,,1,,1,,,,,1,,Золотые стандарты Чайникофф,1,1,1,1,1,,,,1,,,,,1,
a6470038-ef6b-11e2-8bd0-ac162d794eee,1,,,,1,,,Зимой очень холодно в торговом зале(вода перемерзает в трубах),1,,1,,1,,1,,1,,1,,1,,1,,-,1,,,,1,,,1,,-,1,,1,,-,1,,,1,,,,,,,1,1,,,1,,1,,-,-,,1,,,,,,,,,,,1,1,,,1,,,1,,1,,1,,,1,1,,1,,1,,-,1,,1,,1,,1,,,,-,,1,-,1,1,1,1,1,,,,,1,,,,,1
ed33d4ea-ed0f-11e2-8bd0-ac162d794eee,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,ни чего,1,,,1,,,1,,,,1,,1,,Постоянный рост,1,,1,,,,,1,,,,1,,,1,,1,,-,-,,1,,,,1,,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,-,1,,1,,1,,,,1,,,1,,-,1,1,1,1,1,,,,,1,,,,,1
aea31393-7310-11e0-a872-001b789beaf2,1,,,,,,1,,1,,,1,,1,,1,1,,,1,,1,,1,"Организовать гласный мозговой штурм в Рознице посредством обратной связи: почта, портал- не через эту форму , данная форма является поверхностной. Изменения внести необходимо, иначе из-за неудовлетворенности в мотивации и без признания своей работы со стороны руководства, сотрудники теряют интерес и продуктивность от таких, которые пришли ""отсидеться"" , не результативна. Некоторые честнее и сразу решают уходить, а вот большая часть, занимая рабочее место, являются балластом. Остаётся лишь маленькая часть, которая несмотря на условия, продолжают работать хорошо, но их мало!!",1,,,,1,,1,,,,,1,,1,в занимаемой должности потребность в повышении отсутствует,,1,1,,,,,,,,1,,,1,1,,,1,"Предлагаю взглянуть на вещи с другой стороны: выполнить единожды-утвердить и далее действовать уже по утвержденному! Постоянные доработки, пока в них будет непонятная нужда, будут требоваться. Необходимо набрать такой штат Профессионалов, которые заинтересованы в окончательном варианте. От этого проще будет действовать всем, нежели отвлекаться, отвлекать и привлекать действующих сотрудников и новых со стороны. Я ни в коем случае не на стороне консерваторов, я за идеи, но постоянные изменения с уже введенными новыми идеями не приносят никакой пользы-рабочий ресурс направлен не в ту стороны, от этого наблюдается непродуктивность в работе.",не наблюдаю за последнее время,1,,1,,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,,1,,1,,1,,1,,1,,1,"Работая в данной Компании приходится часто принимать нестандартные решения. Есть удовлетворенность и гордость от подобных решений и есть разочарование от того, что приходится действовать ""нестандартно"".",,1,1,,1,,1,,,,Точнее деловая-товарищеская,1,,Вопрос непонятен,1,1,1,1,1,,,1,,,,,,1,
57cd36cd-3abe-11e2-b37d-001b789beaf2,1,,,,,,1,,1,,1,,,1,1,,1,,,1,,1,,1,В отделе разработки отсутствует система мотивации,,1,,,,1,,1,,,1,,1,,"Навыки написания технической документации, сбор и формализация требований к информационной системе, навыки управления проектами",1,,1,,,,,,,,1,1,,,1,,1,,,,,,,,,,1,,,1,,1,,1,,,1,1,,1,,,1,1,,,1,1,,1,,,1,,1,,1,,1,,,,1,,,1,,,1,,,,,,,,1,,,,,1,
dd63a70a-6cfc-11e0-a872-001b789beaf2,,1,,1,,,,,,1,1,,,1,1,,,1,1,,,1,1,,"Индексация оплаты труда, с учетом экономической ситуации в стране, и стажем сотрудника в Компании.",,1,,,1,,1,,,,1,,1,,Курсы повышения квалификации//Тренинги для решения поставленных задач/Работа в группах над поставленными задачами,1,,1,,,,,,,,1,,,1,1,,1,,"взаимодействие между отделами, рядовыми сотрудниками.",Нет предела совершенству.Все процессы со временем необходимо пересматривать и аудировать.,,,,1,1,1,1,,1,1,1,1,1,1,,,1,1,,1,1,,1,,1,,1,1,,1,,1,,Нет контакта с клиентами,,1,1,,1,,,1,,,,1,,Поддержка коллег,1,1,1,,1,,,1,,,,,,1,
b9d2f358-c753-11e2-abbd-ac162d794eee,1,,,,,,1,,1,,1,,,1,1,,1,,,1,1,,1,,изменить мед страховку. специалисты ниар медик низкой квалификации,1,,,1,,,1,,,любая идея реализуема при условии должного обсуждения с непосредственным руководителем,1,,1,,"всегда интересно узнавать что-либо новое, даже если это опосредованно связано с финансами",1,,1,,,,,,,,1,1,,,1,,1,,слишком общий вопрос,слишком общий вопрос,,,,,,,1,,,1,,1,,1,,,1,1,,1,,1,,1,,1,,1,,1,,1,,"практически каждый технический момент работы с банком-инкассатором или банком, который предоставляет эквайринг требует нестандартного решения",1,,1,,1,,1,,,,деловая и дружеская. мы работаем как одна команда,1,,день Чайникоффа прекрасная многолетняя традиция,1,1,1,,1,,,,1,,,,,,1
dd63a709-6cfc-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,,1,1,,1,,Бонусы за выслугу лет,1,,,,,1,1,,,,1,,1,,"Экономика ИТ, новые технологии",1,,1,,,,,,,,1,1,,,1,,1,,"Согласование договоров, издание приказов",Остальные,,,,,,,1,,,1,,1,,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,Находить такие решения - часть моей работы,1,,1,,1,,1,,,,,1,,Все устраивает,1,1,1,1,1,,,,1,,,,,1,
2872f08a-722e-11e0-a872-001b789beaf2,,1,,,1,,,,1,,1,,1,,1,,1,,1,,1,,1,,все устраивает,1,,,1,,,1,,,"внесение своих идей на рассмотрение руководством, дальнейшая их реализация при согласовании с руководством.",1,,1,,повышение навыков эффективной коммуникации,1,,1,,,,,,,,1,1,,,1,,1,,"процесс согласования договоров, процесс оплаты счетов через 1С","отправка и получение почты от клиентов, коммуникации с руководством.",,,1,,,,,,,,,,1,1,,,1,1,,1,,1,,1,,1,,1,,1,,1,,"к сожалению, не припомню такого случая",1,,1,,1,,,1,,,,1,,"День рождения Чайникофф, система поощрения и награждения сотрудников.",1,1,1,1,1,,,,1,,,,,1,
cbe65b49-5d85-11e3-a917-ac162d794eee,1,,,,,1,,"Неисправен принтер с октября 2014 г, нет замены. приходится печатать 5 человек на один принтер.",,1,1,,1,,1,,1,,,1,1,,1,,13 зарплату,,,1,,,1,,1,,,1,,,1,,1,,1,,,,,,,,1,1,,,1,,1,,затрудняюсь ответить,затрудняюсь ответить,,,,,1,,,,,,,1,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,нет таких случаев,,1,1,,1,,,,1,,"доброжелательная атмосфера, без конфликтов",1,,день Чайникоффа,1,,,,1,,,,1,,,,,1,
dd63a708-6cfc-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,,1,,1,1,,,1,1,,,1,Увеличение окладной части,1,,,1,,,1,,,,1,,1,,Управление персоналом и магазином,1,,1,,,,,,,,1,,,1,1,,1,,"Своевременная предоставляемая информация по акциям. По их началу и продлению ,и что участвует в акциях.",.,,,,,1,,,,1,1,,1,1,1,,,1,1,,,,1,,1,,,1,1,,1,,,1,.,1,,1,,1,,,1,,,,,1,Стабильность,,,1,1,1,,,,1,,,,,1,
e31bfce8-6a69-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,абонемент в фитнес-клуб,1,,,,1,,1,,,портал обучение,1,,1,,развиваться дальше,1,,1,,,,,,,,1,1,,,1,,1,,все устраивает,процесс по разработке акций,,,,1,,1,,,,,1,1,1,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,не помню,1,,1,,1,,,,1,,,1,,золотые стандарты,1,1,1,1,1,,,,,1,,,,1,
9b021757-f8b0-11e1-a52a-001b789beaf2,1,,,,,,1,,1,,1,,,1,1,,1,,1,,1,,1,,Увеличить услуги страхования,1,,,1,,,1,,,,1,,,1,,1,,1,,,,,,,1,,1,,,1,,1,,,,,,,,,1,,,,1,1,,,1,,,1,1,1,1,1,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,,1,,,1,,,1,1,1,1,1,,,,,1,,,,,1
dd63a71a-6cfc-11e0-a872-001b789beaf2,1,,,,,1,,плохая освещенность торгового зала. жалобы покупателей,1,,1,,1,,1,,1,,1,,1,,1,,все устраивает,1,,,1,,,1,,,,1,,1,,курс английского языка,1,,1,,,,,,,,1,1,,,1,,1,,хотелось бы  участвовать в формировании ассортимента магазина.,работа портала,,1,,,,,,,,,,,1,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,Затрудняюсь,1,,1,,1,,1,,,,,1,,День рождения компании,1,1,1,1,1,,,,,1,,,,,1
2872f090-722e-11e0-a872-001b789beaf2,1,,,,,,1,-,1,,1,,,1,1,,,1,,1,,1,,1,-,1,,,,1,,,1,,-,,1,,1,-,1,,1,,,,,,,,1,,,1,1,,1,,"Запуск рекламных акций в срок и без дополнений, изменений.",-,,,,1,,,1,,,1,1,1,,1,,,1,1,,1,1,,1,,1,,1,1,,,1,,1,-,,1,1,,1,,,,1,,-,,1,-,,,,,1,,,1,,,,,1,,
