uid,наименование программы,is_webinar,Дата,фактическое количество часов,Оцека (если предусмотрена курсом),uid тренера
u1298,Tefal_Знакомство с Компанией,0,2014.5.19,8,,u335
u1927,Tefal: История бренда,0,2014.2.20,,0,не установлен
u1823,Tefal: История бренда,0,2014.2.20,,0,не установлен
u1675,Tefal: История бренда,0,2014.2.20,,0,не установлен
u1622,Tefal: История бренда,0,2014.2.20,,0,не установлен
u816,Tefal: История бренда,0,2014.06.08,8,,не установлен
u1981,Tefal: История бренда,0,2014.06.08,8,,не установлен
u1596,Tefal: История бренда,0,2014.06.08,8,,не установлен
u1556,Tefal: История бренда,0,2014.06.08,8,,не установлен
u1476,Tefal: История бренда,0,2014.06.08,8,,не установлен
u673,Tefal: История бренда,0,2014.02.12,,0,не установлен
u427,Tefal: История бренда,0,2014.3.19,,0,не установлен
u1783,Tefal: История бренда,0,2014.3.19,,0,не установлен
u1723,Tefal: История бренда,0,2014.3.19,,0,не установлен
u1628,Tefal: История бренда,0,2014.2.25,,0,не установлен
u1566,Tefal: История бренда,0,2014.3.19,,0,не установлен
u1314,Tefal: История бренда,0,2014.2.25,,0,не установлен
u815,Tefal: История бренда,0,2014.7.16,8,,не установлен
u615,Tefal: История бренда,0,2014.7.16,8,,не установлен
u570,Tefal: История бренда,0,2014.7.16,8,,не установлен
u128,Tefal: История бренда,0,2014.7.16,8,,не установлен
u740,Tefal: История бренда,0,2014.12.04,8,,не установлен
u663,Tefal: История бренда,0,2014.02.12,,0,u417
u1790,Tefal: История бренда,0,2014.2.25,,0,u335
u1644,Tefal: История бренда,0,2014.02.12,,0,u335
u920,Tefal: История бренда,0,2014.7.16,8,,u335
u211,Tefal: История бренда,0,2014.11.12,8,,u335
u1927,Tefal: продукт,0,2014.2.19,,0,не установлен
u1823,Tefal: продукт,0,2014.2.19,,0,не установлен
u1675,Tefal: продукт,0,2014.2.19,,0,не установлен
u1622,Tefal: продукт,0,2014.2.19,,0,не установлен
u673,Tefal: продукт,0,2014.02.11,,0,не установлен
u427,Tefal: продукт,0,2014.3.18,,0,не установлен
u1783,Tefal: продукт,0,2014.3.18,,0,не установлен
u1723,Tefal: продукт,0,2014.3.18,,0,не установлен
u1628,Tefal: продукт,0,2014.2.26,,0,не установлен
u1628,Tefal: продукт,0,2014.2.25,,0,не установлен
u1566,Tefal: продукт,0,2014.3.18,,0,не установлен
u1314,Tefal: продукт,0,2014.2.26,,0,не установлен
u1314,Tefal: продукт,0,2014.2.25,,0,не установлен
u932,Tefal: продукт,0,2014.07.10,8,,не установлен
u694,Tefal: продукт,0,2014.07.10,8,,не установлен
u551,Tefal: продукт,0,2014.07.10,8,,не установлен
u534,Tefal: продукт,0,2014.07.10,8,,не установлен
u1487,Tefal: продукт,0,2014.07.10,8,,не установлен
u816,Tefal: продукт,0,2014.06.07,8,,не установлен
u1981,Tefal: продукт,0,2014.06.07,8,,не установлен
u1596,Tefal: продукт,0,2014.06.07,8,,не установлен
u1556,Tefal: продукт,0,2014.06.07,8,,не установлен
u1476,Tefal: продукт,0,2014.06.07,8,,не установлен
u815,Tefal: продукт,0,2014.7.15,8,,не установлен
u615,Tefal: продукт,0,2014.7.15,8,,не установлен
u570,Tefal: продукт,0,2014.7.15,8,,не установлен
u128,Tefal: продукт,0,2014.7.15,8,,не установлен
u740,Tefal: продукт,0,2014.12.03,8,,не установлен
u1798,Tefal: продукт,0,2014.5.20,8,,не установлен
u1798,Tefal: продукт,0,2014.5.20,8,,не установлен
u1717,Tefal: продукт,0,2014.5.20,8,,не установлен
u1717,Tefal: продукт,0,2014.5.20,8,,не установлен
u848,Tefal: продукт,0,2014.04.01,8,,не установлен
u1711,Tefal: продукт,0,2014.04.01,8,,не установлен
u663,Tefal: продукт,0,2014.02.11,,0,u417
u1604,Tefal: продукт,0,2014.04.01,8,,u417
u1699,Tefal: продукт,0,2014.5.20,8,,u375
u1699,Tefal: продукт,0,2014.5.20,8,,u375
u1790,Tefal: продукт,0,2014.2.26,,0,u335
u1790,Tefal: продукт,0,2014.2.25,,0,u335
u1644,Tefal: продукт,0,2014.02.11,,0,u335
u920,Tefal: продукт,0,2014.7.15,8,,u335
u211,Tefal: продукт,0,2014.11.11,8,,u335
u816,Tefal: Розничные технологии,0,2014.06.09,8,,не установлен
u1981,Tefal: Розничные технологии,0,2014.06.09,8,,не установлен
u1596,Tefal: Розничные технологии,0,2014.06.09,8,,не установлен
u1556,Tefal: Розничные технологии,0,2014.06.09,8,,не установлен
u1476,Tefal: Розничные технологии,0,2014.06.09,8,,не установлен
u427,Tefal: Розничные технологии,0,2014.3.20,,0,не установлен
u415,Tefal: Розничные технологии,0,2014.09.04,8,,не установлен
u2075,Tefal: Розничные технологии,0,2014.09.04,8,,не установлен
u1783,Tefal: Розничные технологии,0,2014.3.20,,0,не установлен
u1723,Tefal: Розничные технологии,0,2014.3.20,,0,не установлен
u1628,Tefal: Розничные технологии,0,2014.2.27,,0,не установлен
u1566,Tefal: Розничные технологии,0,2014.3.20,,0,не установлен
u1314,Tefal: Розничные технологии,0,2014.2.27,,0,не установлен
u815,Tefal: Розничные технологии,0,2014.7.17,8,,не установлен
u615,Tefal: Розничные технологии,0,2014.7.17,8,,не установлен
u570,Tefal: Розничные технологии,0,2014.7.17,8,,не установлен
u206,Tefal: Розничные технологии,0,2014.7.17,8,,не установлен
u128,Tefal: Розничные технологии,0,2014.7.17,8,,не установлен
u1798,Tefal: Розничные технологии,0,2014.5.22,8,,не установлен
u1717,Tefal: Розничные технологии,0,2014.5.22,8,,не установлен
u948,Tefal: Розничные технологии,0,2014.09.04,8,,u417
u1891,Tefal: Розничные технологии,0,2014.2.27,,0,u375
u1699,Tefal: Розничные технологии,0,2014.5.22,8,,u375
u1920,Tefal: Розничные технологии,0,2014.2.27,,0,u335
u1790,Tefal: Розничные технологии,0,2014.2.27,,0,u335
u920,Tefal: Розничные технологии,0,2014.7.17,8,,u335
u1927,Tefal: Технология дорогих продаж,0,2014.2.21,,0,не установлен
u1823,Tefal: Технология дорогих продаж,0,2014.2.21,,0,не установлен
u1675,Tefal: Технология дорогих продаж,0,2014.2.21,,0,не установлен
u1622,Tefal: Технология дорогих продаж,0,2014.2.21,,0,не установлен
u673,Tefal: Технология дорогих продаж,0,2014.2.13,,0,не установлен
u427,Tefal: Технология дорогих продаж,0,2014.3.21,,0,не установлен
u415,Tefal: Технология дорогих продаж,0,2014.09.05,8,,не установлен
u2075,Tefal: Технология дорогих продаж,0,2014.09.05,8,,не установлен
u1783,Tefal: Технология дорогих продаж,0,2014.3.21,,0,не установлен
u1723,Tefal: Технология дорогих продаж,0,2014.3.21,,0,не установлен
u1628,Tefal: Технология дорогих продаж,0,2014.2.28,,0,не установлен
u1628,Tefal: Технология дорогих продаж,0,2014.2.27,,0,не установлен
u1566,Tefal: Технология дорогих продаж,0,2014.3.21,,0,не установлен
u1314,Tefal: Технология дорогих продаж,0,2014.2.28,,0,не установлен
u1314,Tefal: Технология дорогих продаж,0,2014.2.27,,0,не установлен
u816,Tefal: Технология дорогих продаж,0,2014.06.10,8,,не установлен
u1981,Tefal: Технология дорогих продаж,0,2014.06.10,8,,не установлен
u1596,Tefal: Технология дорогих продаж,0,2014.06.10,8,,не установлен
u1556,Tefal: Технология дорогих продаж,0,2014.06.10,8,,не установлен
u1476,Tefal: Технология дорогих продаж,0,2014.06.10,8,,не установлен
u815,Tefal: Технология дорогих продаж,0,2014.7.18,8,,не установлен
u615,Tefal: Технология дорогих продаж,0,2014.7.18,8,,не установлен
u570,Tefal: Технология дорогих продаж,0,2014.7.18,8,,не установлен
u206,Tefal: Технология дорогих продаж,0,2014.7.18,8,,не установлен
u128,Tefal: Технология дорогих продаж,0,2014.7.18,8,,не установлен
u740,Tefal: Технология дорогих продаж,0,2014.12.05,8,,не установлен
u1798,Tefal: Технология дорогих продаж,0,2014.5.23,8,,не установлен
u1717,Tefal: Технология дорогих продаж,0,2014.5.23,8,,не установлен
u1861,Tefal: Технология дорогих продаж,0,2014.04.10,8,,не установлен
u1855,Tefal: Технология дорогих продаж,0,2014.04.10,8,,не установлен
u1762,Tefal: Технология дорогих продаж,0,2014.04.10,8,,не установлен
u948,Tefal: Технология дорогих продаж,0,2014.09.05,8,,u417
u663,Tefal: Технология дорогих продаж,0,2014.2.13,,0,u417
u2080,Tefal: Технология дорогих продаж,0,2014.1.17,,0,u390
u1891,Tefal: Технология дорогих продаж,0,2014.2.28,,0,u375
u1891,Tefal: Технология дорогих продаж,0,2014.2.27,,0,u375
u1699,Tefal: Технология дорогих продаж,0,2014.5.23,8,,u375
u1920,Tefal: Технология дорогих продаж,0,2014.2.28,,0,u335
u1920,Tefal: Технология дорогих продаж,0,2014.2.27,,0,u335
u1790,Tefal: Технология дорогих продаж,0,2014.2.28,,0,u335
u1790,Tefal: Технология дорогих продаж,0,2014.2.27,,0,u335
u1644,Tefal: Технология дорогих продаж,0,2014.2.13,,0,u335
u920,Tefal: Технология дорогих продаж,0,2014.7.18,8,,u335
u211,Tefal: Технология дорогих продаж,0,2014.11.14,8,,u335
u211,Tefal: Технология дорогих продаж,0,2014.11.13,8,,u335
u2081,Tefal: Технология дорогих продаж,0,2014.04.10,8,,u335
u2062,Английский язык: УРОК 3,0,2014.1.20,,0,не установлен
u817,Английский язык: УРОК 3,0,2014.1.20,,0,u417
u91,Английский язык: УРОК 3,0,2014.1.20,,0,u335
u2062,Английский язык: УРОК 4,0,2014.1.27,,0,не установлен
u817,Английский язык: УРОК 4,0,2014.1.27,,0,u417
u91,Английский язык: УРОК 4,0,2014.1.27,,0,u335
u356,Английский язык: УРОК 5,0,2014.1.24,,0,u335
u1175,Английский язык: УРОК 5,0,2014.1.24,,0,u1946
u870,Английский язык: УРОК 6,1,2014.1.13,,0,u390
u5,Английский язык: УРОК 6,1,2014.1.14,,0,u390
u1977,Английский язык: УРОК 6,1,2014.1.13,,0,u390
u1804,Английский язык: УРОК 6,1,2014.1.13,,0,u390
u1801,Английский язык: УРОК 6,1,2014.1.13,,0,u390
u1578,Английский язык: УРОК 6,1,2014.1.13,,0,u390
u356,Английский язык: УРОК 6,0,2014.1.31,,0,u335
u1175,Английский язык: УРОК 6,0,2014.1.31,,0,u1946
u870,Английский язык: УРОК 7,1,2014.1.16,,0,u390
u5,Английский язык: УРОК 7,1,2014.1.17,,0,u390
u1853,Английский язык: УРОК 7,1,2014.1.16,,0,u390
u1804,Английский язык: УРОК 7,1,2014.1.17,,0,u390
u1801,Английский язык: УРОК 7,1,2014.1.16,,0,u390
u917,Английский язык: УРОК 8,1,2014.1.27,,0,u390
u870,Английский язык: УРОК 8,1,2014.1.27,,0,u390
u5,Английский язык: УРОК 8,1,2014.1.29,,0,u390
u1853,Английский язык: УРОК 8,1,2014.1.27,,0,u390
u1801,Английский язык: УРОК 8,1,2014.1.28,,0,u390
u921,Английский язык: ЭКЗАМЕН,1,2014.02.03,,"0,91",u390
u917,Английский язык: ЭКЗАМЕН,1,2014.02.03,,"1,16",u390
u870,Английский язык: ЭКЗАМЕН,1,2014.02.04,,"4,35",u390
u762,Английский язык: ЭКЗАМЕН,1,2014.02.03,,"4,8",u390
u518,Английский язык: ЭКЗАМЕН,1,2014.02.05,,0,u390
u5,Английский язык: ЭКЗАМЕН,1,2014.02.03,,"4,36",u390
u491,Английский язык: ЭКЗАМЕН,1,2014.02.03,,"1,08",u390
u2080,Английский язык: ЭКЗАМЕН,1,2014.02.05,,0,u390
u2077,Английский язык: ЭКЗАМЕН,1,2014.02.04,,"1,08",u390
u1977,Английский язык: ЭКЗАМЕН,1,2014.02.04,,"1,75",u390
u1853,Английский язык: ЭКЗАМЕН,1,2014.02.03,,"4,8",u390
u1801,Английский язык: ЭКЗАМЕН,1,2014.02.04,,"4,3",u390
u1797,Английский язык: ЭКЗАМЕН,1,2014.02.05,,0,u390
u1629,Английский язык: ЭКЗАМЕН,1,2014.02.03,,"4,98",u390
u1578,Английский язык: ЭКЗАМЕН,1,2014.02.06,,"1,6",u390
u838,Аттестация (Тест 1 кейс),0,2014.09.10,1,,не установлен
u2029,Аттестация (Тест 1 кейс),1,2014.10.29,6,,не установлен
u132,Аттестация (Тест 1 кейс),1,2014.10.30,2,,не установлен
u300,Аттестация (Тест 1 кейс),1,2014.10.28,4,,не установлен
u1829,Аттестация (Тест 1 кейс),1,2014.10.28,4,,не установлен
u910,Аттестация (Тест 1 кейс),1,2014.8.28,1,,не установлен
u328,Аттестация (Тест 1 кейс),1,2014.8.28,1,,не установлен
u822,Аттестация (Тест 1 кейс),0,2014.10.30,4,,не установлен
u1344,Аттестация (Тест 1 кейс),0,2014.7.31,3,,не установлен
u874,Аттестация (Тест 1 кейс),0,2014.2.25,1,,не установлен
u874,Аттестация (Тест 1 кейс),0,2014.2.25,1,,не установлен
u874,Аттестация (Тест 1 кейс),0,2014.2.25,1,,не установлен
u793,Аттестация (Тест 1 кейс),0,2014.2.25,1,105,не установлен
u793,Аттестация (Тест 1 кейс),0,2014.2.25,1,105,не установлен
u793,Аттестация (Тест 1 кейс),0,2014.2.25,1,105,не установлен
u1332,Аттестация (Тест 1 кейс),0,2014.2.25,1,,не установлен
u1332,Аттестация (Тест 1 кейс),0,2014.2.25,1,,не установлен
u1332,Аттестация (Тест 1 кейс),0,2014.2.25,1,,не установлен
u1190,Аттестация (Тест 1 кейс),0,2014.2.24,1,103,не установлен
u1190,Аттестация (Тест 1 кейс),0,2014.2.24,1,103,не установлен
u1190,Аттестация (Тест 1 кейс),0,2014.2.24,1,103,не установлен
u752,Аттестация (Тест 1 кейс),0,2014.10.28,1,,не установлен
u853,Аттестация (Тест 1 кейс),1,2014.10.28,"0,5",,не установлен
u1527,Аттестация (Тест 1 кейс),1,2014.3.26,,"4,4",не установлен
u673,Аттестация (Тест 1 кейс),0,2014.3.31,,"4,3",не установлен
u569,Аттестация (Тест 1 кейс),0,2014.1.13,,"4,5",не установлен
u500,Аттестация (Тест 1 кейс),0,2014.1.13,,"4,3",не установлен
u370,Аттестация (Тест 1 кейс),0,2014.1.13,,"4,8",не установлен
u326,Аттестация (Тест 1 кейс),0,2014.1.14,,"3,5",не установлен
u260,Аттестация (Тест 1 кейс),0,2014.1.14,,"4,4",не установлен
u1504,Аттестация (Тест 1 кейс),0,2014.1.24,,"4,3",не установлен
u1314,Аттестация (Тест 1 кейс),0,2014.3.31,,"4,6",не установлен
u1171,Аттестация (Тест 1 кейс),0,2014.1.14,,"4,3",не установлен
u1120,Аттестация (Тест 1 кейс),0,2014.1.13,,"4,3",не установлен
u1043,Аттестация (Тест 1 кейс),0,2014.1.13,,"4,3",не установлен
u1843,Аттестация (Тест 1 кейс),0,2014.1.27,,0,не установлен
u1848,Аттестация (Тест 1 кейс),0,2014.3.24,,,не установлен
u1628,Аттестация (Тест 1 кейс),0,2014.3.24,,,не установлен
u985,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u985,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u985,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u970,Аттестация (Тест 1 кейс),0,2014.9.26,,"3,7",не установлен
u970,Аттестация (Тест 1 кейс),0,2014.9.26,,"3,7",не установлен
u957,Аттестация (Тест 1 кейс),0,2014.9.26,,"4,97",не установлен
u957,Аттестация (Тест 1 кейс),0,2014.9.26,,"4,97",не установлен
u837,Аттестация (Тест 1 кейс),0,2014.9.29,,0,не установлен
u837,Аттестация (Тест 1 кейс),0,2014.9.29,,0,не установлен
u740,Аттестация (Тест 1 кейс),0,2014.12.18,,,не установлен
u740,Аттестация (Тест 1 кейс),0,2014.12.18,,,не установлен
u737,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u737,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u737,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u723,Аттестация (Тест 1 кейс),0,2014.9.26,,"4,4",не установлен
u723,Аттестация (Тест 1 кейс),0,2014.9.26,,"4,4",не установлен
u608,Аттестация (Тест 1 кейс),0,2014.9.26,,"4,45",не установлен
u608,Аттестация (Тест 1 кейс),0,2014.9.26,,"4,45",не установлен
u570,Аттестация (Тест 1 кейс),0,2014.10.31,8,,не установлен
u570,Аттестация (Тест 1 кейс),0,2014.10.31,8,,не установлен
u570,Аттестация (Тест 1 кейс),0,2014.10.31,8,,не установлен
u472,Аттестация (Тест 1 кейс),0,2014.10.30,1,,не установлен
u422,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u422,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u422,Аттестация (Тест 1 кейс),0,2014.10.29,6,,не установлен
u422,Аттестация (Тест 1 кейс),0,2014.9.30,,"4,1",не установлен
u415,Аттестация (Тест 1 кейс),0,2014.10.29,1,,не установлен
u388,Аттестация (Тест 1 кейс),0,2014.9.30,,"4,5",не установлен
u2033,Аттестация (Тест 1 кейс),0,2014.10.28,8,,не установлен
u2033,Аттестация (Тест 1 кейс),0,2014.10.28,8,,не установлен
u2033,Аттестация (Тест 1 кейс),0,2014.10.28,8,,не установлен
u970,Аттестация (Тест 1 кейс),0,2014.8.26,1,,не установлен
u970,Аттестация (Тест 1 кейс),0,2014.8.26,1,,не установлен
u679,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,45",не установлен
u679,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,45",не установлен
u589,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,3",не установлен
u589,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,3",не установлен
u242,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,37",не установлен
u242,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,37",не установлен
u241,Аттестация (Тест 1 кейс),0,2014.8.26,1,"3,95",не установлен
u241,Аттестация (Тест 1 кейс),0,2014.8.26,1,"3,95",не установлен
u197,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,57",не установлен
u197,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,57",не установлен
u161,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,35",не установлен
u161,Аттестация (Тест 1 кейс),0,2014.8.26,1,"4,35",не установлен
u970,Аттестация (Тест 1 кейс),0,2014.8.27,1,3,не установлен
u970,Аттестация (Тест 1 кейс),0,2014.8.27,1,3,не установлен
u582,Аттестация (Тест 1 кейс),0,2014.8.27,1,,не установлен
u582,Аттестация (Тест 1 кейс),0,2014.8.27,1,,не установлен
u201,Аттестация (Тест 1 кейс),0,2014.8.27,1,,не установлен
u201,Аттестация (Тест 1 кейс),0,2014.8.27,1,,не установлен
u605,Аттестация (Тест 1 кейс),0,2014.6.30,8,"3,6",не установлен
u605,Аттестация (Тест 1 кейс),0,2014.6.30,8,"3,6",не установлен
u605,Аттестация (Тест 1 кейс),0,2014.6.30,8,"3,6",не установлен
u1444,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,43",не установлен
u1444,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,43",не установлен
u1444,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,43",не установлен
u1440,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,48",не установлен
u1440,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,48",не установлен
u1440,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,48",не установлен
u1331,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,35",не установлен
u1331,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,35",не установлен
u1331,Аттестация (Тест 1 кейс),0,2014.6.30,8,"4,35",не установлен
u941,Аттестация (Тест 1 кейс),0,2014.07.01,8,"4,7",не установлен
u941,Аттестация (Тест 1 кейс),0,2014.07.01,8,"4,7",не установлен
u1798,Аттестация (Тест 1 кейс),0,2014.06.04,0,"4,4",не установлен
u1798,Аттестация (Тест 1 кейс),0,2014.06.04,0,"4,4",не установлен
u1783,Аттестация (Тест 1 кейс),0,2014.06.04,0,"4,3",не установлен
u1783,Аттестация (Тест 1 кейс),0,2014.06.04,0,"4,3",не установлен
u1566,Аттестация (Тест 1 кейс),0,2014.06.04,0,"4,6",не установлен
u1566,Аттестация (Тест 1 кейс),0,2014.06.04,0,"4,6",не установлен
u99,Аттестация (Тест 1 кейс),0,2014.4.29,1,,не установлен
u99,Аттестация (Тест 1 кейс),0,2014.4.29,1,,не установлен
u99,Аттестация (Тест 1 кейс),0,2014.4.29,1,,не установлен
u874,Аттестация (Тест 1 кейс),0,2014.1.14,1,,не установлен
u815,Аттестация (Тест 1 кейс),0,2014.9.30,8,"4,4",не установлен
u760,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u760,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u760,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u760,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u760,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u727,Аттестация (Тест 1 кейс),0,2014.7.31,3,,не установлен
u673,Аттестация (Тест 1 кейс),0,2014.3.31,8,"4,3",не установлен
u672,Аттестация (Тест 1 кейс),0,2014.7.31,3,,не установлен
u643,Аттестация (Тест 1 кейс),0,2014.7.29,9,"4,58",не установлен
u643,Аттестация (Тест 1 кейс),0,2014.7.29,9,"4,58",не установлен
u640,Аттестация (Тест 1 кейс),0,2014.07.03,1,"4,95",не установлен
u633,Аттестация (Тест 1 кейс),0,2014.10.30,4,,не установлен
u605,Аттестация (Тест 1 кейс),0,2014.7.30,9,"4,6",не установлен
u605,Аттестация (Тест 1 кейс),0,2014.7.30,9,"4,6",не установлен
u569,Аттестация (Тест 1 кейс),0,2014.1.13,0,"4,5",не установлен
u539,Аттестация (Тест 1 кейс),0,2014.5.29,0,"4,3",не установлен
u539,Аттестация (Тест 1 кейс),0,2014.5.29,0,"4,3",не установлен
u539,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u539,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u539,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u539,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u539,Аттестация (Тест 1 кейс),0,2014.4.28,1,,не установлен
u528,Аттестация (Тест 1 кейс),0,2014.5.30,8,"4,3",не установлен
u528,Аттестация (Тест 1 кейс),0,2014.5.30,8,"4,3",не установлен
u500,Аттестация (Тест 1 кейс),0,2014.1.14,1,"4,3",не установлен
u415,Аттестация (Тест 1 кейс),0,2014.9.30,8,"3,8",не установлен
u370,Аттестация (Тест 1 кейс),0,2014.1.14,1,"4,8",не установлен
u357,Аттестация (Тест 1 кейс),0,2014.02.03,0,3,не установлен
u357,Аттестация (Тест 1 кейс),0,2014.02.03,0,3,не установлен
u357,Аттестация (Тест 1 кейс),0,2014.02.03,0,3,не установлен
u326,Аттестация (Тест 1 кейс),0,2014.1.13,0,"3,5",не установлен
u260,Аттестация (Тест 1 кейс),0,2014.1.14,1,"4,4",не установлен
u2075,Аттестация (Тест 1 кейс),0,2014.9.30,8,"4,5",не установлен
u2054,Аттестация (Тест 1 кейс),0,2014.5.30,1,"4,45",не установлен
u201,Аттестация (Тест 1 кейс),0,2014.7.31,9,"3,84",не установлен
u201,Аттестация (Тест 1 кейс),0,2014.7.31,9,"3,84",не установлен
u1848,Аттестация (Тест 1 кейс),0,2014.3.25,0,,не установлен
u1848,Аттестация (Тест 1 кейс),0,2014.3.25,0,,не установлен
u1844,Аттестация (Тест 1 кейс),0,2014.4.29,1,,не установлен
u1844,Аттестация (Тест 1 кейс),0,2014.4.29,1,,не установлен
u1844,Аттестация (Тест 1 кейс),0,2014.4.29,1,,не установлен
